Timestamp,18:44:38.33,18:44:43.32,18:44:46.32
CO2,1568.4,1566.0,1567.4
T,23.942550659179688,23.971923828125,24.0146484375
RH,56.6741943359375,57.0770263671875,57.40203857421875
TVOC,19,17,25
PM1.0,0.9019903540611267,0.9119148254394531,0.9355091452598572
PM2.5,0.9538207054138184,0.9643154740333557,0.989265501499176
PM4.0,0.9538207054138184,0.9643154740333557,0.989265501499176
PM10.0,0.9538218975067139,0.9643166661262512,0.9892667531967163
PMSize,0.5129095315933228,0.5125170946121216,0.5134520530700684
title,2021-12-01-18:44:38
start,2021-12-01T18:44:49.324Z
