Timestamp,13:05:43.34,13:05:49.33,13:05:52.36,13:05:55.28,13:05:58.30,13:06:01.31,13:06:04.35,13:06:07.36,13:06:10.29,13:06:13.31,13:06:16.31,13:06:19.36,13:06:22.28,13:06:25.30,13:06:28.31,13:06:31.35,13:06:34.36,13:06:37.29,13:06:40.31
CO2,822.49,818.30,814.45,810.33,806.73,801.35,812.70,838.67,1050.7,1478.9,2275.1,2176.1,1860.6,1788.3,1766.8,1706.9,1669.2,1467.8,1202.4
T,23.656822204589844,23.63011932373047,23.600746154785156,23.58739471435547,23.558021545410156,23.63011932373047,23.75830078125,23.857101440429688,23.955902099609375,24.097427368164062,24.0146484375,23.985275268554688,23.899826049804688,23.92919921875,23.915847778320312,23.886474609375,23.857101440429688,23.774322509765625,23.774322509765625
RH,61.3372802734375,61.37847900390625,61.46087646484375,61.42425537109375,61.43035888671875,61.55242919921875,62.9364013671875,64.61639404296875,66.1407470703125,65.618896484375,65.61279296875,64.46380615234375,63.0828857421875,63.2659912109375,63.5589599609375,63.0401611328125,62.77923583984375,62.1490478515625,62.0391845703125
TVOC,165,185,202,217,234,257,324,364,373,384,361,329,324,332,329,317,307,310,300
PM1.0,1.0232051610946655,1.0542348623275757,1.098063588142395,1.122274398803711,1.1354129314422607,1.1558361053466797,1.118520975112915,1.0972301959991455,1.0724512338638306,1.0755845308303833,1.0431421995162964,1.015343427658081,1.0038669109344482,1.0224361419677734,1.010324239730835,0.9742030501365662,0.9614682197570801,0.9328211545944214,0.9365389347076416
PM2.5,1.2456154823303223,1.2294434309005737,1.2631447315216064,1.2939115762710571,1.275745153427124,1.2900831699371338,1.2491250038146973,1.217387318611145,1.1879024505615234,1.1899957656860352,1.1556546688079834,1.1376475095748901,1.1336100101470947,1.1585100889205933,1.1406437158584595,1.090934157371521,1.0732629299163818,1.0435878038406372,1.0458492040634155
PM4.0,1.3780325651168823,1.3222146034240723,1.3456826210021973,1.380629539489746,1.33651602268219,1.3449788093566895,1.3028090000152588,1.2636058330535889,1.2314647436141968,1.232569694519043,1.1982004642486572,1.1894116401672363,1.1919292211532593,1.2210888862609863,1.199128270149231,1.1401010751724243,1.119027018547058,1.0898514986038208,1.090761423110962
PM10.0,1.4045177698135376,1.3407716751098633,1.3621913194656372,1.3979742527008057,1.348671317100525,1.3559596538543701,1.3135465383529663,1.2728511095046997,1.2401796579360962,1.2410860061645508,1.206712245941162,1.1997648477554321,1.2035934925079346,1.2336063385009766,1.2108272314071655,1.1499356031417847,1.1281812191009521,1.099105954170227,1.0997458696365356
PMSize,0.689378023147583,0.6424763798713684,0.6300991177558899,0.6310650110244751,0.5907729864120483,0.5890353918075562,0.5859662294387817,0.568089485168457,0.5639936923980713,0.5737689733505249,0.5778404474258423,0.5914016962051392,0.5978599786758423,0.6039390563964844,0.6008833646774292,0.5945119857788086,0.584775447845459,0.5859274864196777,0.5842810869216919
title,2021-11-11-13:05:43.34
start,2021-11-11T13:06:43.314Z
