Timestamp,14:57:52.35,14:57:58.33,14:58:01.32,14:58:04.36,14:58:07.29,14:58:10.31,14:58:13.31,14:58:16.36,14:58:19.29,14:58:22.30,14:58:25.31,14:58:28.36,14:58:31.28,14:58:34.30,14:58:37.31,14:58:40.35,14:58:43.36,14:58:46.29,14:58:49.31,14:58:52.31,14:58:55.36,14:58:58.29,14:59:01.30,14:59:04.31,14:59:07.35,14:59:10.36,14:59:13.29,14:59:16.31,14:59:19.32,14:59:22.36,14:59:25.29,14:59:28.30,14:59:31.31,14:59:34.35,14:59:37.28,14:59:40.29,14:59:43.31,14:59:46.31,14:59:49.36,14:59:52.29,14:59:55.30,14:59:58.32,15:00:01.36,15:00:04.28,15:00:07.30,15:00:10.31,15:00:13.35,15:00:16.28,15:00:19.29,15:00:22.31,15:00:25.31,15:00:28.35,15:00:31.28,15:00:34.30,15:00:37.31,15:00:40.35,15:00:43.36,15:00:46.29,15:00:49.31,15:00:52.31,15:00:55.35,15:00:58.29,15:01:01.30,15:01:04.31,15:01:07.35,15:01:10.28,15:01:13.29,15:01:16.31,15:01:19.31,15:01:22.36,15:01:25.29,15:01:28.30,15:01:31.31,15:01:34.35,15:01:37.28,15:01:40.29,15:01:43.31,15:01:46.31,15:01:49.36,15:01:52.29,15:01:55.30,15:01:58.31,15:02:01.35,15:02:04.28,15:02:07.30,15:02:10.31,15:02:13.35,15:02:16.36,15:02:19.29,15:02:22.31,15:02:25.32,15:02:28.36,15:02:31.29,15:02:34.30,15:02:37.31,15:02:40.35,15:02:43.29,15:02:46.30,15:02:49.31,15:02:52.35
CO2,532.27,555.76,554.57,584.05,599.20,665.95,760.04,689.08,886.83,803.91,577.77,582.44,565.10,577.09,624.70,659.08,633.96,621.35,625.41,618.20,619.35,601.01,590.63,588.83,625.60,641.60,683.37,647.41,618.82,629.81,636.57,647.60,623.00,607.28,622.38,632.43,549.99,640.52,397.38,635.29,638.26,607.44,592.50,555.08,546.50,523.11,528.89,534.29,549.76,545.22,536.36,536.51,557.59,540.79,670.84,543.83,590.02,718.31,668.12,637.95,629.34,628.24,541.57,514.26,590.14,601.83,598.22,602.05,607.12,606.73,603.73,582.51,579.55,571.46,588.03,587.40,602.70,614.12,618.63,640.34,635.63,582.49,577.96,559.79,570.45,558.41,537.81,140.67,468.99,490.23,462.64,489.18,519.76,485.63,514.65,536.32,542.65,622.97,599.57,619.97
T,28.175018310546875,28.303199768066406,28.345924377441406,28.388648986816406,28.37262725830078,28.37262725830078,28.37262725830078,28.345924377441406,28.28984832763672,28.247116088867188,28.1910400390625,28.2337646484375,28.204391479492188,28.1910400390625,28.204391479492188,28.118942260742188,28.132293701171875,28.076217651367188,28.076217651367188,28.0628662109375,28.049514770507812,28.006790161132812,28.033493041992188,28.049514770507812,27.932022094726562,27.833221435546875,27.777145385742188,27.8065185546875,27.833221435546875,27.777145385742188,27.790496826171875,27.7637939453125,27.777145385742188,27.747764587402344,27.72106170654297,27.66498565673828,27.566184997558594,27.566184997558594,27.49408721923828,27.424659729003906,27.480735778808594,27.50743865966797,27.523460388183594,27.55016326904297,27.57953643798828,27.59288787841797,27.566184997558594,27.49408721923828,27.381935119628906,27.45136260986328,27.523460388183594,27.55016326904297,27.59288787841797,27.523460388183594,27.57953643798828,27.57953643798828,27.55016326904297,27.467384338378906,27.438011169433594,27.40863800048828,27.32318878173828,27.307167053222656,27.32318878173828,27.32318878173828,27.29381561279297,27.33654022216797,27.29381561279297,27.32318878173828,27.307167053222656,27.32318878173828,27.307167053222656,27.36591339111328,27.33654022216797,27.349891662597656,27.36591339111328,27.381935119628906,27.32318878173828,27.23773193359375,27.25109100341797,27.221710205078125,27.208358764648438,27.19500732421875,27.221710205078125,27.181655883789062,27.221710205078125,27.23773193359375,27.29381561279297,27.36591339111328,27.36591339111328,27.381935119628906,27.40863800048828,27.40863800048828,27.45136260986328,27.45136260986328,27.467384338378906,27.480735778808594,27.45136260986328,27.424659729003906,27.395286560058594,27.381935119628906
RH,58.76922607421875,58.8470458984375,58.87908935546875,58.5906982421875,58.4320068359375,58.25347900390625,58.2305908203125,58.15582275390625,58.29925537109375,58.3526611328125,58.4136962890625,58.4808349609375,58.47625732421875,58.49609375,58.50982666015625,58.63800048828125,58.7005615234375,58.82110595703125,58.880615234375,59.03472900390625,59.08966064453125,59.11865234375,59.31396484375,59.32769775390625,59.58099365234375,59.76715087890625,60.101318359375,60.07080078125,60.03875732421875,59.92279052734375,59.67559814453125,59.75494384765625,59.86328125,59.918212890625,60.03265380859375,60.10589599609375,60.04180908203125,60.1837158203125,60.430908203125,60.44158935546875,60.48736572265625,60.46905517578125,60.400390625,60.32257080078125,60.33935546875,60.47210693359375,60.418701171875,60.25238037109375,60.198974609375,60.2935791015625,60.42327880859375,60.4400634765625,60.162353515625,60.13946533203125,60.10284423828125,60.125732421875,60.16693115234375,60.42633056640625,60.491943359375,60.70098876953125,60.79254150390625,60.9588623046875,61.02752685546875,61.18316650390625,61.62567138671875,61.75384521484375,61.76910400390625,61.785888671875,61.7828369140625,61.85455322265625,61.883544921875,62.07122802734375,62.12158203125,62.19329833984375,62.2039794921875,61.9964599609375,61.785888671875,61.86065673828125,61.86370849609375,61.8011474609375,62.1337890625,62.25433349609375,62.158203125,62.0513916015625,62.0025634765625,61.7919921875,61.7584228515625,61.3800048828125,61.0809326171875,60.78948974609375,60.78338623046875,60.60638427734375,60.3179931640625,60.198974609375,59.92889404296875,59.954833984375,60.17608642578125,60.5499267578125,60.7574462890625,61.1175537109375
TVOC,79,79,62,28,0,0,0,0,0,26,29,45,60,75,83,95,96,110,113,132,133,121,108,104,100,108,107,99,106,103,109,96,97,104,106,106,112,109,115,105,92,88,75,69,51,54,52,62,75,82,77,86,105,110,128,134,141,150,150,159,150,154,166,161,158,163,166,179,163,170,178,179,192,185,190,196,195,194,200,203,201,207,204,186,188,181,156,150,141,148,158,156,153,159,168,169,170,178,171,173
PM1.0,2.474924325942993,2.4555392265319824,2.4500555992126465,2.390258312225342,2.347809314727783,2.34822678565979,2.351506471633911,2.3438477516174316,2.312293767929077,2.3677725791931152,2.468069314956665,2.5181288719177246,2.588318109512329,2.6215381622314453,2.6333932876586914,2.6247189044952393,2.6999926567077637,2.719377040863037,2.697730541229248,2.816993474960327,2.9438107013702393,2.95278000831604,2.923415184020996,2.8950209617614746,2.8514857292175293,2.765871047973633,2.7480392456054688,2.7187130451202393,2.6091690063476562,2.507901906967163,2.4954636096954346,2.4351751804351807,2.3875935077667236,2.3636648654937744,2.326997756958008,2.2100963592529297,2.1419341564178467,2.1798465251922607,2.178187608718872,2.2268762588500977,2.2869842052459717,2.277434825897217,2.299381732940674,2.2473676204681396,2.1834394931793213,2.2186827659606934,2.2919187545776367,2.4152767658233643,2.514690637588501,2.5903313159942627,2.601902723312378,2.6728687286376953,2.7094688415527344,2.6520607471466064,2.6586594581604004,2.5806081295013428,2.4986143112182617,2.343374729156494,2.2272846698760986,2.1949522495269775,2.166374683380127,2.080888032913208,2.013979434967041,2.1014931201934814,2.32271409034729,2.495793104171753,2.5880110263824463,2.6429762840270996,2.667951822280884,2.6373090744018555,2.6013870239257812,2.5145387649536133,2.462891101837158,2.3790667057037354,2.354573965072632,2.385544776916504,2.4726624488830566,2.5735247135162354,2.6194252967834473,2.613093376159668,2.6020314693450928,2.5699820518493652,2.5576579570770264,2.4838781356811523,2.4553701877593994,2.435638427734375,2.424118757247925,2.3498167991638184,2.2833523750305176,2.2689521312713623,2.377973794937134,2.528489112854004,2.717771291732788,2.937260627746582,2.982497453689575,2.959036350250244,2.842668056488037,2.659087657928467,2.4906373023986816,2.4015755653381348
PM2.5,3.0427327156066895,2.976844549179077,2.949441432952881,2.8717823028564453,2.7847280502319336,2.766979455947876,2.7653303146362305,2.73549485206604,2.7161989212036133,2.7809019088745117,2.8879809379577637,2.9420461654663086,3.0309951305389404,3.0787243843078613,3.066436290740967,3.0535476207733154,3.115790843963623,3.1342365741729736,3.1018166542053223,3.231992244720459,3.369835138320923,3.380612373352051,3.3398325443267822,3.323582887649536,3.2693521976470947,3.1856088638305664,3.1660444736480713,3.130845785140991,3.002204656600952,2.883950710296631,2.865915298461914,2.7924916744232178,2.7338366508483887,2.7038745880126953,2.659454584121704,2.52360200881958,2.4430348873138428,2.48256516456604,2.47672438621521,2.527942419052124,2.5926268100738525,2.5783610343933105,2.599353551864624,2.5367212295532227,2.461219310760498,2.4982638359069824,2.5775935649871826,2.7147316932678223,2.824932336807251,2.908643960952759,2.9197490215301514,2.9977200031280518,3.0371949672698975,2.970935583114624,2.976356029510498,2.886751890182495,2.7928690910339355,2.617598056793213,2.4862887859344482,2.4483389854431152,2.41521954536438,2.318721055984497,2.242738962173462,2.339456796646118,2.5858190059661865,2.7785050868988037,2.8810834884643555,2.9426157474517822,2.9704246520996094,2.9353957176208496,2.8941659927368164,2.795956611633301,2.7363717555999756,2.6410486698150635,2.612387180328369,2.6455416679382324,2.7397165298461914,2.8487894535064697,2.896658182144165,2.8868632316589355,2.871845006942749,2.83345890045166,2.8172378540039062,2.7338244915008545,2.699651002883911,2.6750566959381104,2.659712314605713,2.575745105743408,2.5003957748413086,2.4820306301116943,2.5988216400146484,2.76145076751709,2.965691328048706,3.2024288177490234,3.2492783069610596,3.2208802700042725,3.0925235748291016,2.8913352489471436,2.7066562175750732,2.608962297439575
PM4.0,3.387176036834717,3.284553289413452,3.239664316177368,3.1503303050994873,3.0291481018066406,2.9966800212860107,2.9908909797668457,2.9434609413146973,2.935553550720215,3.005140542984009,3.113046169281006,3.168022871017456,3.268889904022217,3.3268191814422607,3.294440746307373,3.278542995452881,3.3267409801483154,3.343526601791382,3.303391933441162,3.436856269836426,3.5777251720428467,3.5895442962646484,3.5408928394317627,3.53579044342041,3.4749302864074707,3.396684408187866,3.37654447555542,3.3379592895507812,3.1989564895629883,3.071664333343506,3.049677848815918,2.9684252738952637,2.903021812438965,2.869290590286255,2.8202993869781494,2.674546718597412,2.587110996246338,2.6261863708496094,2.617039203643799,2.668039083480835,2.7336325645446777,2.715994119644165,2.7351937294006348,2.666386604309082,2.584488868713379,2.621354579925537,2.7022104263305664,2.84476375579834,2.9590680599212646,3.0457968711853027,3.0559844970703125,3.1363229751586914,3.176427125930786,3.105670928955078,3.109833002090454,3.0145087242126465,2.9148154258728027,2.730553150177002,2.592327833175659,2.551333427429199,2.5158679485321045,2.414430856704712,2.3342182636260986,2.434314250946045,2.690735340118408,2.8912408351898193,2.9979145526885986,3.0622081756591797,3.091148853302002,3.0539941787719727,3.0101397037506104,2.9067740440368652,2.8431649208068848,2.742436408996582,2.711541175842285,2.745021104812622,2.840857982635498,2.951883554458618,2.9992105960845947,2.986907720565796,2.969202756881714,2.9271788597106934,2.908377170562744,2.8205971717834473,2.783162832260132,2.755553960800171,2.737649440765381,2.6493141651153564,2.569863796234131,2.548961877822876,2.666969060897827,2.8324015140533447,3.039945602416992,3.280435085296631,3.326486825942993,3.2951862812042236,3.1625349521636963,2.9556381702423096,2.7656569480895996,2.665119171142578
PM10.0,3.4560678005218506,3.346097230911255,3.2977123260498047,3.2060415744781494,3.078036069869995,3.0426218509674072,3.036004066467285,2.985058307647705,2.9794297218322754,3.0499908924102783,3.1580607891082764,3.2132232189178467,3.3164732456207275,3.3764431476593018,3.340043067932129,3.323546886444092,3.368931531906128,3.385387659072876,3.3437092304229736,3.4778311252593994,3.619304895401001,3.6313376426696777,3.5811095237731934,3.578237533569336,3.516049385070801,3.438904285430908,3.4186501502990723,3.3793861865997314,3.2383103370666504,3.1092119216918945,3.086432695388794,3.0036158561706543,2.9368646144866943,2.902379035949707,2.8524720668792725,2.7047407627105713,2.615929126739502,2.6549160480499268,2.64510440826416,2.6960628032684326,2.7618370056152344,2.7435221672058105,2.7623634338378906,2.6923232078552246,2.609145402908325,2.645975351333618,2.7271363735198975,2.8707730770111084,2.985898733139038,3.073227882385254,3.0832364559173584,3.1640496253967285,3.2042784690856934,3.1326210498809814,3.136531352996826,3.0400640964508057,2.9392075538635254,2.7531487941741943,2.613536834716797,2.571934461593628,2.535999298095703,2.433577060699463,2.352517604827881,2.453289270401001,2.7117228507995605,2.913792133331299,3.0212860107421875,3.086130380630493,3.1152970790863037,3.077718734741211,3.0333361625671387,2.928942918777466,2.864528179168701,2.762716054916382,2.731374740600586,2.764921188354492,2.861088514328003,2.9725067615509033,3.0197272300720215,3.0069217681884766,2.988677501678467,2.945924758911133,2.926605701446533,2.8379523754119873,2.799870252609253,2.7716567516326904,2.753239154815674,2.664030075073242,2.5837607383728027,2.562350034713745,2.6806023120880127,2.8465960025787354,3.054800510406494,3.2960431575775146,3.3419322967529297,3.310048818588257,3.1765434741973877,2.9684998989105225,2.777461290359497,2.676351547241211
PMSize,0.67666095495224,0.6655778288841248,0.6549591422080994,0.6582021713256836,0.651236891746521,0.6507225036621094,0.6479194760322571,0.642007052898407,0.6491962671279907,0.646148145198822,0.6446096897125244,0.640636146068573,0.6446036100387573,0.6486890912055969,0.6385725736618042,0.6381030678749084,0.6292657852172852,0.6286993026733398,0.6257162094116211,0.6257035732269287,0.6222320795059204,0.6240801811218262,0.6217347383499146,0.6267248392105103,0.6252418756484985,0.6294177770614624,0.6297276020050049,0.623489499092102,0.6206576824188232,0.6214332580566406,0.6152057647705078,0.6124625205993652,0.6128460168838501,0.6125345230102539,0.6111592054367065,0.6093548536300659,0.605941653251648,0.6040171384811401,0.6025323867797852,0.6057080030441284,0.6040843725204468,0.6019073724746704,0.5980290174484253,0.5981824398040771,0.5987040996551514,0.5975372791290283,0.5968766212463379,0.6002625226974487,0.5984410047531128,0.5944637060165405,0.595124363899231,0.5961812734603882,0.5980271100997925,0.5913650989532471,0.5930368900299072,0.5903555154800415,0.5903670787811279,0.5900900363922119,0.5886273384094238,0.585136890411377,0.586696982383728,0.5848804712295532,0.5842918157577515,0.5846713781356812,0.5841450691223145,0.5853815078735352,0.5855900049209595,0.5860897302627563,0.5853391885757446,0.5848525762557983,0.5837029218673706,0.5771998167037964,0.5750554800033569,0.5764987468719482,0.5755053758621216,0.5776125192642212,0.5732290744781494,0.5729843378067017,0.5720512866973877,0.5690242052078247,0.5667288303375244,0.5653334856033325,0.567615270614624,0.5685890913009644,0.5622119903564453,0.5628544092178345,0.5672078132629395,0.5653787851333618,0.5595813989639282,0.5581408739089966,0.5618655681610107,0.560854434967041,0.562188982963562,0.5595111846923828,0.5569025278091431,0.5580739974975586,0.5590502023696899,0.5578151941299438,0.556652307510376,0.5582151412963867
title,2021-11-15-14:57:52.35
start,2021-11-15T15:02:55.290Z
