Timestamp,14:38:46.35,14:38:52.38,14:38:55.30,14:38:58.31,14:39:01.31,14:39:04.36,14:39:07.29,14:39:10.30,14:39:13.31,14:39:16.32,14:39:19.36,14:39:22.29,14:39:25.30,14:39:28.31,14:39:31.32,14:39:34.36,14:39:37.29,14:39:40.31,14:39:43.32,14:39:46.36,14:39:49.29,14:39:52.30,14:39:55.31,14:39:58.31,14:40:01.36,14:40:04.29,14:40:07.30,14:40:10.31,14:40:13.32,14:40:16.37,14:40:19.30,14:40:22.31,14:40:25.32,14:40:28.36,14:40:31.29,14:40:34.30,14:40:37.32,14:40:40.35,14:40:43.28,14:40:46.30,14:40:49.31,14:40:52.32,14:40:55.36,14:40:58.29,14:41:01.30,14:41:04.32,14:41:07.35,14:41:10.37,14:41:13.30,14:41:16.31,14:41:19.32,14:41:22.36,14:41:25.29,14:41:28.31,14:41:31.32,14:41:34.36,14:41:37.29,14:41:40.30,14:41:43.31,14:41:46.32,14:41:49.36,14:41:52.29,14:41:55.31,14:41:58.32,14:42:01.36,14:42:04.29,14:42:07.30,14:42:10.31,14:42:13.32,14:42:16.30,14:42:19.30,14:42:22.31,14:42:25.31,14:42:28.36,14:42:31.29,14:42:34.31,14:42:37.32,14:42:40.36,14:42:43.29,14:42:46.31,14:42:49.31,14:42:52.36,14:42:55.29,14:42:58.30,14:43:01.31,14:43:04.32,14:43:07.36,14:43:10.29,14:43:13.31,14:43:16.32,14:43:19.36,14:43:22.37,14:43:25.30,14:43:28.31,14:43:31.32,14:43:34.36,14:43:37.29,14:43:40.30,14:43:43.31,14:43:46.32,14:43:49.36,14:43:52.29,14:43:55.31,14:43:58.32,14:44:01.36,14:44:04.37,14:44:07.30,14:44:10.31
CO2,993.66,1001.3,1005.6,1005.1,1016.6,1018.0,1020.1,1008.7,1004.5,1025.9,1059.1,1138.6,1157.2,1167.8,1147.3,1119.6,1087.0,1067.9,1045.2,1041.4,1022.9,1020.4,1012.8,1010.0,1007.0,1001.2,995.08,990.14,985.65,982.12,975.28,970.27,964.21,961.76,958.54,956.54,956.50,956.43,953.68,941.57,938.70,938.46,945.19,953.85,957.55,952.32,956.96,959.22,960.65,964.43,962.74,967.56,967.95,967.26,966.68,965.88,964.78,964.75,959.62,959.19,959.93,957.03,954.67,954.98,954.76,954.99,955.33,954.64,954.48,954.21,953.10,953.02,950.97,949.53,949.38,948.34,947.77,946.56,947.28,947.21,947.20,948.16,948.36,947.64,947.48,947.51,946.43,944.80,943.84,942.86,940.82,940.43,939.33,937.14,937.04,935.35,935.55,936.17,935.93,935.03,934.70,934.53,934.94,934.05,933.92,933.28,932.97,933.74
T,26.68230438232422,26.71167755126953,26.698326110839844,26.68230438232422,26.66895294189453,26.54077911376953,26.49805450439453,26.49805450439453,26.570152282714844,26.63957977294922,26.68230438232422,26.698326110839844,26.698326110839844,26.655601501464844,26.655601501464844,26.655601501464844,26.62622833251953,26.655601501464844,26.655601501464844,26.66895294189453,26.655601501464844,26.63957977294922,26.66895294189453,26.655601501464844,26.66895294189453,26.655601501464844,26.68230438232422,26.655601501464844,26.698326110839844,26.698326110839844,26.698326110839844,26.71167755126953,26.71167755126953,26.71167755126953,26.68230438232422,26.698326110839844,26.66895294189453,26.655601501464844,26.655601501464844,26.770431518554688,26.7998046875,26.813156127929688,26.7998046875,26.770431518554688,26.770431518554688,26.770431518554688,26.71167755126953,26.738380432128906,26.72502899169922,26.68230438232422,26.68230438232422,26.71167755126953,26.66895294189453,26.698326110839844,26.698326110839844,26.698326110839844,26.68230438232422,26.738380432128906,26.72502899169922,26.738380432128906,26.71167755126953,26.757080078125,26.738380432128906,26.770431518554688,26.757080078125,26.72502899169922,26.738380432128906,26.738380432128906,26.757080078125,26.757080078125,26.757080078125,26.757080078125,26.738380432128906,26.738380432128906,26.738380432128906,26.738380432128906,26.770431518554688,26.738380432128906,26.757080078125,26.738380432128906,26.72502899169922,26.738380432128906,26.72502899169922,26.68230438232422,26.68230438232422,26.66895294189453,26.68230438232422,26.68230438232422,26.68230438232422,26.698326110839844,26.68230438232422,26.68230438232422,26.698326110839844,26.71167755126953,26.698326110839844,26.71167755126953,26.72502899169922,26.738380432128906,26.757080078125,26.738380432128906,26.757080078125,26.770431518554688,26.71167755126953,26.698326110839844,26.71167755126953,26.698326110839844,26.68230438232422,26.738380432128906
RH,62.0391845703125,61.9110107421875,61.8316650390625,61.8408203125,61.749267578125,61.78131103515625,62.4176025390625,62.774658203125,63.330078125,64.0655517578125,63.95111083984375,64.09912109375,63.897705078125,63.12255859375,62.90283203125,62.7471923828125,62.47406005859375,62.40081787109375,62.158203125,62.09259033203125,62.0025634765625,62.04376220703125,61.993408203125,61.93389892578125,61.8927001953125,61.8011474609375,61.71722412109375,61.68060302734375,61.6302490234375,61.566162109375,61.48529052734375,61.456298828125,61.444091796875,61.47918701171875,61.65008544921875,61.73248291015625,61.7919921875,61.9140625,61.968994140625,63.1103515625,63.00506591796875,62.5732421875,62.38250732421875,62.16583251953125,61.810302734375,61.767578125,61.63177490234375,61.61651611328125,61.6455078125,61.6729736328125,61.6851806640625,61.72332763671875,61.68212890625,61.64093017578125,61.60888671875,61.60888671875,61.572265625,61.54937744140625,61.5020751953125,61.4166259765625,61.456298828125,61.47613525390625,61.4288330078125,61.46697998046875,61.43035888671875,61.42578125,61.46087646484375,61.4166259765625,61.44256591796875,61.44256591796875,61.407470703125,61.407470703125,61.33880615234375,61.328125,61.328125,61.31591796875,61.32354736328125,61.33880615234375,61.32049560546875,61.33880615234375,61.3250732421875,61.36016845703125,61.3800048828125,61.45172119140625,61.50665283203125,61.50360107421875,61.4166259765625,61.45172119140625,61.39678955078125,61.309814453125,61.3067626953125,61.3189697265625,61.38763427734375,61.41204833984375,61.3983154296875,61.36627197265625,61.3372802734375,61.34796142578125,61.297607421875,61.25030517578125,61.309814453125,61.31134033203125,61.26861572265625,61.309814453125,61.26861572265625,61.297607421875,61.3189697265625,61.492919921875
TVOC,6,20,13,12,13295,41673,40530,39541,37038,29559,31598,32062,34442,29868,16764,12388,9959,7822,5125,3363,3032,3880,5409,4556,3158,2731,5939,4033,4840,5109,5325,5017,5271,13287,17506,13917,13141,17815,18155,12818,8945,5332,3350,2651,1885,1389,1017,802,669,626,592,553,505,460,435,408,406,387,356,348,345,335,326,324,336,333,339,338,347,329,327,306,282,258,249,252,244,242,241,233,219,223,222,233,229,222,218,213,192,183,178,187,187,190,181,174,168,161,160,158,168,169,168,144,151,142,143,134
PM1.0,1.311236023902893,1.2871745824813843,1.3309217691421509,1.376273274421692,1464.446044921875,1487.23486328125,980.565673828125,602.9595336914062,338.0003662109375,179.10472106933594,121.5421371459961,129.46176147460938,96.59514617919922,49.980995178222656,35.932289123535156,27.10160255432129,20.811140060424805,20.97571563720703,19.179935455322266,18.345775604248047,18.043445587158203,17.60418128967285,17.032485961914062,16.318239212036133,15.473893165588379,14.33631420135498,12.622802734375,10.953367233276367,9.802579879760742,8.906709671020508,8.091200828552246,7.371490001678467,6.815293788909912,6.385128498077393,5.973788261413574,5.643819332122803,5.392860412597656,5.260584831237793,5.0949225425720215,5.170859336853027,5.306987285614014,5.32598876953125,5.290364742279053,5.196901321411133,4.9985198974609375,4.76062536239624,4.650285243988037,4.670910358428955,4.680521488189697,4.535322189331055,4.42756986618042,4.264090061187744,4.057136535644531,3.863481044769287,3.781468391418457,3.7135796546936035,3.665123224258423,3.5371875762939453,3.386728048324585,3.246093988418579,3.122995615005493,3.017268419265747,2.9158334732055664,2.8782012462615967,2.856384038925171,2.905339002609253,2.878614902496338,2.8352086544036865,2.786388874053955,2.798243284225464,2.7691526412963867,2.8593451976776123,2.850926637649536,2.82364559173584,2.8493192195892334,2.829537868499756,2.8637447357177734,2.900374412536621,2.8691210746765137,2.723968505859375,2.6026668548583984,2.4896388053894043,2.4840779304504395,2.5650529861450195,2.7236950397491455,2.845545768737793,2.849809169769287,2.8386175632476807,2.844280481338501,2.9044392108917236,2.930556058883667,2.8924169540405273,2.797818660736084,2.752687454223633,2.7330641746520996,2.642756223678589,2.6388094425201416,2.625789165496826,2.6719603538513184,2.6803996562957764,2.7261364459991455,2.713425874710083,2.6562976837158203,2.6662752628326416,2.639828681945801,2.679044723510742,2.785679578781128,2.9338090419769287
PM2.5,1.3865824937820435,1.3611384630203247,1.4073995351791382,1.4553569555282593,1838.4837646484375,2173.49267578125,1531.3824462890625,987.1410522460938,565.5999755859375,302.05670166015625,202.86708068847656,214.36276245117188,158.35720825195312,81.5907211303711,58.08957290649414,43.499576568603516,33.160484313964844,33.096282958984375,29.992008209228516,28.549888610839844,28.00252914428711,27.202104568481445,26.239110946655273,25.066099166870117,23.72711944580078,21.930240631103516,19.26902198791504,16.680274963378906,14.895183563232422,13.517568588256836,12.249065399169922,11.134182929992676,10.265811920166016,9.591699600219727,8.9566650390625,8.436710357666016,8.035484313964844,7.814539909362793,7.555599212646484,7.670313835144043,7.8638811111450195,7.887578964233398,7.826696872711182,7.6755828857421875,7.362185001373291,6.993727207183838,6.808736324310303,6.822016716003418,6.816285610198975,6.585084438323975,6.403987884521484,6.143007278442383,5.82430362701416,5.525543212890625,5.389164924621582,5.27358341217041,5.1855268478393555,4.9846343994140625,4.754904747009277,4.542288303375244,4.357220649719238,4.198538303375244,4.045327663421631,3.9844648838043213,3.9453465938568115,4.002366065979004,3.9527814388275146,3.8787684440612793,3.7980825901031494,3.799797773361206,3.7465810775756836,3.854858636856079,3.8315322399139404,3.7815449237823486,3.7986795902252197,3.7589237689971924,3.793213129043579,3.8327572345733643,3.782827138900757,3.5832157135009766,3.4147629737854004,3.258303642272949,3.243292808532715,3.3412299156188965,3.536405086517334,3.680142641067505,3.6720833778381348,3.6495964527130127,3.6502058506011963,3.720338821411133,3.7479584217071533,3.6960575580596924,3.5717997550964355,3.509080410003662,3.4765496253967285,3.354323387145996,3.3415701389312744,3.317307472229004,3.3682055473327637,3.3726723194122314,3.4237000942230225,3.4021081924438477,3.323927402496338,3.328444480895996,3.2868595123291016,3.3265199661254883,3.449030876159668,3.6220858097076416
PM4.0,1.3865824937820435,1.3611384630203247,1.4073995351791382,1.4553569555282593,2073.09423828125,2659.7314453125,1931.5677490234375,1270.0262451171875,734.0823364257812,393.2350158691406,263.03271484375,277.0542907714844,203.8503875732422,104.8487548828125,74.35088348388672,55.51041793823242,42.1872444152832,41.93022155761719,37.850460052490234,35.95511245727539,35.22349548339844,34.15121078491211,32.89811706542969,31.387041091918945,29.68699836730957,27.409448623657227,24.060916900634766,20.805788040161133,18.560863494873047,16.83502769470215,15.237824440002441,13.836593627929688,12.741442680358887,11.889904022216797,11.092958450317383,10.434584617614746,9.923420906066895,9.63686466217041,9.310134887695312,9.452698707580566,9.68642520904541,9.713038444519043,9.633373260498047,9.439949035644531,9.042689323425293,8.579627990722656,8.339351654052734,8.34572696685791,8.32713508605957,8.033086776733398,7.797637462615967,7.46535062789917,7.065828323364258,6.69101095199585,6.514447212219238,6.363426685333252,6.245570659637451,5.991587162017822,5.704695224761963,5.440364360809326,5.210867404937744,5.014247417449951,4.823850154876709,4.74593448638916,4.693828105926514,4.755098342895508,4.688252925872803,4.591493129730225,4.487287521362305,4.480241298675537,4.408854961395264,4.527571201324463,4.492569923400879,4.425477027893066,4.434507846832275,4.379505634307861,4.412271976470947,4.452472686767578,4.388877868652344,4.151941776275635,3.950970411300659,3.764618158340454,3.742220640182495,3.8501174449920654,4.067479133605957,4.223264694213867,4.205036163330078,4.173928260803223,4.1701812744140625,4.245589733123779,4.273209095001221,4.211946487426758,4.068084716796875,3.9932303428649902,3.9511654376983643,3.807309865951538,3.7876102924346924,3.754854202270508,3.807429790496826,3.808290719985962,3.8614754676818848,3.833282947540283,3.740719795227051,3.7403564453125,3.6877501010894775,3.7259466648101807,3.856346845626831,4.0426859855651855
PM10.0,1.3865842819213867,1.3611401319503784,1.407401204109192,1.4553587436676025,2120.01904296875,2756.98046875,2011.606201171875,1326.60400390625,767.7792358398438,411.47088623046875,275.0660095214844,289.5927429199219,212.9491729736328,109.50039672851562,77.60317993164062,57.912635803222656,43.99261474609375,43.6970329284668,39.42217254638672,37.43617248535156,36.667720794677734,35.541046142578125,34.22993850708008,32.6512451171875,30.878997802734375,28.505308151245117,25.019319534301758,21.630903244018555,19.29401206970215,17.498525619506836,15.835585594177246,14.377084732055664,13.236577987670898,12.349555969238281,11.520220756530762,10.834163665771484,10.301011085510254,10.001338005065918,9.661051750183105,9.809181213378906,10.05094051361084,10.07813835144043,9.994715690612793,9.792826652526855,9.378798484802246,8.896812438964844,8.64548110961914,8.650477409362793,8.629308700561523,8.3226900100708,8.076377868652344,7.7298264503479,7.314139366149902,6.924111843109131,6.739511966705322,6.581400394439697,6.457584857940674,6.192978382110596,5.8946614265441895,5.619986057281494,5.3815999031066895,5.177393436431885,4.979557514190674,4.89823055267334,4.843526363372803,4.9056477546691895,4.835352897644043,4.7340407371521,4.625130653381348,4.616333484649658,4.541314125061035,4.662117004394531,4.624783515930176,4.5542683601379395,4.561675548553467,4.503626346588135,4.5360846519470215,4.576419353485107,4.510091781616211,4.265692234039307,4.058213710784912,3.8658852577209473,3.842008113861084,3.951897144317627,4.173698425292969,4.3318915367126465,4.3116302490234375,4.2788004875183105,4.274180889129639,4.350647449493408,4.378265857696533,4.315131664276123,4.16734504699707,4.090064525604248,4.046093940734863,3.89790940284729,3.8768208026885986,3.8423664569854736,3.8952794075012207,3.895418167114258,3.9490315914154053,3.919522523880005,3.824085235595703,3.822742223739624,3.767932653427124,3.805835247039795,3.937814474105835,4.126809120178223
PMSize,0.5155739784240723,0.5166583061218262,0.5121140480041504,0.5131099224090576,1.1407314538955688,0.9316917061805725,0.906615138053894,0.9054890275001526,0.8968830704689026,0.8642163276672363,0.8129212260246277,0.8366325497627258,0.824515163898468,0.8396021127700806,0.8028433322906494,0.8022837042808533,0.7967879772186279,0.784634530544281,0.7892225384712219,0.7908629775047302,0.7873650193214417,0.7870144844055176,0.7919056415557861,0.7972822189331055,0.7923435568809509,0.7866532206535339,0.7871351838111877,0.7921968698501587,0.7882426381111145,0.7861382365226746,0.7817533016204834,0.7808982729911804,0.7774231433868408,0.7711881995201111,0.7731990218162537,0.7645790576934814,0.7678778171539307,0.7624867558479309,0.7624682784080505,0.7630999088287354,0.7538084983825684,0.7574138641357422,0.758590817451477,0.7515836358070374,0.7515292763710022,0.7521944642066956,0.7491870522499084,0.7465716600418091,0.746850311756134,0.7423016428947449,0.7316584587097168,0.731393575668335,0.7311237454414368,0.7299582958221436,0.7309909462928772,0.7334251403808594,0.7285174131393433,0.7282956838607788,0.7243471145629883,0.7217381000518799,0.7253245115280151,0.7277510166168213,0.7250926494598389,0.7259187698364258,0.726215124130249,0.7220513224601746,0.7168071269989014,0.7120383381843567,0.7093816995620728,0.709952175617218,0.7093853950500488,0.7076120376586914,0.707188069820404,0.7004950046539307,0.6908320188522339,0.696591317653656,0.6944243907928467,0.6969713568687439,0.6996742486953735,0.6977107524871826,0.6939775943756104,0.6913272738456726,0.6888115406036377,0.6865435242652893,0.6795017123222351,0.6751679182052612,0.6761215329170227,0.6817546486854553,0.6816011667251587,0.6794122457504272,0.682855486869812,0.684059202671051,0.6800092458724976,0.678410530090332,0.6744244694709778,0.6697834730148315,0.6678017973899841,0.671145498752594,0.6717897057533264,0.6714913845062256,0.6704620718955994,0.6718240976333618,0.6666455864906311,0.6597021818161011,0.6605972051620483,0.6627423167228699,0.663093626499176,0.6641315221786499
title,2021-11-15-14:38:46.35
