Timestamp,12:03:41.34,12:03:47.39,12:03:52.73,12:03:55.34,12:03:58.36,12:04:01.29,12:04:04.30,12:04:07.31,12:04:10.36,12:04:13.29,12:04:16.24,12:04:19.31,12:04:22.35,12:04:25.36,12:04:28.29,12:04:31.30,12:04:34.31,12:04:37.28,12:04:40.29,12:04:43.30,12:04:46.31,12:04:49.35,12:04:52.36,12:04:55.29,12:04:58.31
CO2,1917.1,1882.0,1824.6,1766.5,1733.1,1672.1,1657.4,1632.9,1583.1,1589.1,1584.6,1582.5,1587.9,1600.7,1609.1,1608.6,1597.8,1585.3,1583.5,1596.1,1597.8,1594.6,1611.1,1623.3,1638.9
T,28.730445861816406,28.743797302246094,28.773178100585938,28.773178100585938,28.815902709960938,28.799880981445312,28.799880981445312,28.799880981445312,28.786529541015625,28.786529541015625,28.829254150390625,28.829254150390625,28.799880981445312,28.815902709960938,28.799880981445312,28.842605590820312,28.928054809570312,29.013504028320312,28.984130859375,28.997482299804688,28.970779418945312,28.970779418945312,28.984130859375,28.970779418945312,28.970779418945312
RH,66.131591796875,65.9332275390625,66.5985107421875,66.0064697265625,65.8111572265625,65.69671630859375,65.66314697265625,65.69671630859375,65.6494140625,65.5364990234375,65.58074951171875,65.47698974609375,65.31524658203125,65.22979736328125,65.228271484375,65.155029296875,65.1702880859375,64.9871826171875,64.8590087890625,64.862060546875,64.95513916015625,65.00091552734375,65.1824951171875,65.35797119140625,66.04461669921875
TVOC,10,10,0,1,0,1,0,12,9,6,2,6,0,0,12,14,13,3,11,10,3,18,29,20,18
PM1.0,1.5519253015518188,1.445560336112976,1.437601923942566,1.4886690378189087,1.4961811304092407,1.459169864654541,1.3978676795959473,1.3837260007858276,1.3646711111068726,1.3791753053665161,1.393370270729065,1.3639096021652222,1.3941718339920044,1.4385442733764648,1.5152473449707031,1.6088876724243164,1.6249548196792603,1.614429235458374,1.6789807081222534,1.7387328147888184,1.7736623287200928,1.8097128868103027,1.7592074871063232,1.7040698528289795,1.6126312017440796
PM2.5,1.6411023139953613,1.5286253690719604,1.5202096700668335,1.5742112398147583,1.5821549892425537,1.5430169105529785,1.4781923294067383,1.463238000869751,1.4430880546569824,1.458425760269165,1.4734363555908203,1.4422829151153564,1.474284052848816,1.5212061405181885,1.6023167371749878,1.7013379335403442,1.7183282375335693,1.707197904586792,1.7754586935043335,1.8386441469192505,1.875580906867981,1.9137029647827148,1.8602954149246216,1.8019895553588867,1.705296516418457
PM4.0,1.6411023139953613,1.5286253690719604,1.5202096700668335,1.5742112398147583,1.5821549892425537,1.5430169105529785,1.4781923294067383,1.463238000869751,1.4430880546569824,1.458425760269165,1.4734363555908203,1.4422829151153564,1.474284052848816,1.5212061405181885,1.6023167371749878,1.7013379335403442,1.7183282375335693,1.707197904586792,1.7754586935043335,1.8386441469192505,1.875580906867981,1.9137029647827148,1.8602954149246216,1.8019895553588867,1.705296516418457
PM10.0,1.6411043405532837,1.5286272764205933,1.5202115774154663,1.5742132663726807,1.5821568965911865,1.5430188179016113,1.4781941175460815,1.4632397890090942,1.4430898427963257,1.4584275484085083,1.4734381437301636,1.4422845840454102,1.4742858409881592,1.5212080478668213,1.6023187637329102,1.7013400793075562,1.7183303833007812,1.707200050354004,1.7754608392715454,1.8386465311050415,1.8755831718444824,1.9137053489685059,1.8602977991104126,1.8019917011260986,1.705298662185669
PMSize,0.5163896083831787,0.5186216831207275,0.5147831439971924,0.5149655342102051,0.5151057243347168,0.5148645639419556,0.5144739151000977,0.5156652927398682,0.5149645805358887,0.5132173299789429,0.5132901668548584,0.5138187408447266,0.509890079498291,0.5104780197143555,0.508603572845459,0.5099532604217529,0.5091596841812134,0.5084928274154663,0.5089831352233887,0.5113030672073364,0.5125570297241211,0.5131258964538574,0.5154843330383301,0.5172475576400757,0.5188965797424316
title,2021-11-10-12:03:41.34
start,2021-11-10T12:05:01.318Z
