Timestamp,14:16:20.35,14:16:26.39,14:16:29.26,14:16:32.25,14:16:35.33,14:16:38.36,14:16:41.29,14:16:44.30,14:16:47.31,14:16:50.33,14:16:53.30,14:16:56.30,14:16:59.31,14:17:02.31,14:17:05.34,14:17:08.27,14:17:11.36,14:17:14.29,14:17:17.31,14:17:20.31,14:17:23.32,14:17:26.36,14:17:29.29,14:17:32.30,14:17:35.31,14:17:38.32,14:17:41.36,14:17:44.29,14:17:47.30,14:17:50.32,14:17:53.32,14:17:56.36,14:17:59.29,14:18:02.31,14:18:05.31,14:18:08.37,14:18:11.29,14:18:14.30,14:18:17.32,14:18:20.35,14:18:23.37,14:18:26.30,14:18:29.31,14:18:32.32,14:18:35.36,14:18:38.29,14:18:41.31,14:18:44.32,14:18:47.36,14:18:50.37,14:18:53.30,14:18:56.31,14:18:59.31,14:19:02.36,14:19:05.29,14:19:08.31,14:19:11.32,14:19:14.36,14:19:17.29,14:19:20.30,14:19:23.32,14:19:26.36,14:19:29.37,14:19:32.29,14:19:35.30,14:19:38.31,14:19:41.32,14:19:44.36,14:19:47.29,14:19:50.31,14:19:53.31,14:19:56.36,14:19:59.29,14:20:02.31,14:20:05.31,14:20:08.36,14:20:11.29,14:20:14.31,14:20:17.32,14:20:20.36,14:20:23.29,14:20:26.30,14:20:29.31,14:20:32.32,14:20:35.36,14:20:38.38,14:20:41.31,14:20:44.31
CO2,929.87,929.92,929.46,931.79,931.97,933.95,934.07,932.88,933.38,934.07,934.76,934.33,937.75,936.30,934.88,934.97,935.70,933.60,933.55,936.64,937.47,937.10,937.26,936.05,935.76,936.64,935.07,934.47,935.40,936.07,936.15,938.56,938.48,937.40,937.03,937.49,939.29,942.14,951.02,971.26,1092.4,1073.6,1016.0,1017.7,1040.7,1006.2,1003.5,977.54,974.34,959.10,960.97,957.40,949.30,950.73,949.87,950.56,947.20,946.67,947.40,943.37,943.91,940.53,942.66,945.14,946.52,949.00,954.14,954.47,956.92,957.47,958.39,960.20,959.40,960.79,961.58,960.33,960.83,963.37,962.08,960.82,957.50,956.26,954.64,952.18,953.02,954.13,952.45,949.95
T,26.757080078125,26.770431518554688,26.770431518554688,26.757080078125,26.71167755126953,26.72502899169922,26.71167755126953,26.738380432128906,26.770431518554688,26.738380432128906,26.72502899169922,26.757080078125,26.757080078125,26.770431518554688,26.757080078125,26.757080078125,26.738380432128906,26.757080078125,26.738380432128906,26.757080078125,26.738380432128906,26.757080078125,26.738380432128906,26.72502899169922,26.738380432128906,26.72502899169922,26.72502899169922,26.72502899169922,26.71167755126953,26.72502899169922,26.72502899169922,26.757080078125,26.72502899169922,26.72502899169922,26.738380432128906,26.757080078125,26.770431518554688,26.757080078125,26.770431518554688,26.783782958984375,26.783782958984375,26.770431518554688,26.783782958984375,26.783782958984375,26.770431518554688,26.770431518554688,26.770431518554688,26.770431518554688,26.770431518554688,26.71167755126953,26.757080078125,26.738380432128906,26.72502899169922,26.698326110839844,26.66895294189453,26.68230438232422,26.698326110839844,26.68230438232422,26.66895294189453,26.68230438232422,26.655601501464844,26.698326110839844,26.698326110839844,26.72502899169922,26.770431518554688,26.757080078125,26.738380432128906,26.72502899169922,26.68230438232422,26.68230438232422,26.71167755126953,26.68230438232422,26.66895294189453,26.698326110839844,26.68230438232422,26.68230438232422,26.655601501464844,26.655601501464844,26.655601501464844,26.655601501464844,26.66895294189453,26.66895294189453,26.698326110839844,26.698326110839844,26.72502899169922,26.71167755126953,26.72502899169922,26.71167755126953
RH,62.64190673828125,62.72125244140625,62.72125244140625,62.408447265625,62.322998046875,62.158203125,62.14447021484375,62.19482421875,62.24365234375,62.23907470703125,62.22686767578125,62.2406005859375,62.27569580078125,62.2344970703125,62.0880126953125,62.01934814453125,61.993408203125,62.01934814453125,62.0941162109375,62.12005615234375,62.115478515625,62.20855712890625,62.1490478515625,62.08038330078125,62.103271484375,62.14752197265625,62.18109130859375,62.29095458984375,62.335205078125,62.49237060546875,62.53662109375,62.2406005859375,62.1124267578125,62.0147705078125,62.005615234375,62.042236328125,62.078857421875,62.2314453125,62.3992919921875,62.29095458984375,62.14752197265625,62.09869384765625,62.1795654296875,62.0697021484375,61.9232177734375,61.767578125,61.75537109375,61.68670654296875,61.7218017578125,61.700439453125,61.7645263671875,61.81488037109375,61.82403564453125,61.8316650390625,61.9049072265625,61.91864013671875,61.97509765625,61.95068359375,61.88201904296875,61.8408203125,61.8682861328125,61.88812255859375,61.920166015625,61.956787109375,61.98883056640625,61.95220947265625,61.8377685546875,61.737060546875,61.773681640625,61.75079345703125,61.84539794921875,61.883544921875,61.92474365234375,61.90032958984375,61.9384765625,61.96136474609375,61.968994140625,61.94610595703125,61.94610595703125,61.93389892578125,61.9476318359375,61.91558837890625,61.9293212890625,61.9415283203125,61.9049072265625,61.9232177734375,61.9049072265625,61.83319091796875
TVOC,63,54,56,52,48,37,48,97,188,301,406,460,490,480,473,458,436,445,419,434,428,427,428,411,406,428,442,509,572,605,621,640,654,662,648,623,602,617,635,636,659,654,634,625,629,615,580,549,488,447,393,348,313,281,261,259,253,242,229,210,197,188,171,155,145,134,129,121,107,112,107,106,105,113,109,97,95,90,86,101,77,86,70,74,72,79,74,75
PM1.0,1.3860281705856323,1.379109263420105,1.3821287155151367,1.379618525505066,1.3412415981292725,1.3009800910949707,1.2893078327178955,1.3211780786514282,1.4110697507858276,1.517710566520691,1.6052513122558594,1.6100283861160278,1.6876494884490967,1.769742488861084,1.8057218790054321,1.8447798490524292,1.859248399734497,1.8656171560287476,1.811456322669983,1.7214133739471436,1.682580828666687,1.62970769405365,1.591165542602539,1.5738755464553833,1.5666457414627075,1.6287978887557983,1.6631147861480713,1.7102642059326172,1.7293741703033447,1.693676471710205,1.6783052682876587,1.6444599628448486,1.6317667961120605,1.6558146476745605,1.619596242904663,1.5517104864120483,1.4861483573913574,1.416851282119751,1.3878930807113647,1.381685495376587,1.332686185836792,1.3265348672866821,1.3745964765548706,1.4377737045288086,1.4674733877182007,1.5469058752059937,1.5346862077713013,1.5103694200515747,1.5078253746032715,1.5290966033935547,1.5826654434204102,1.643830418586731,1.6565136909484863,1.7211898565292358,1.7404825687408447,1.692184567451477,1.665830373764038,1.661197543144226,1.6557234525680542,1.6206579208374023,1.5389487743377686,1.5106778144836426,1.490590214729309,1.4538710117340088,1.4095673561096191,1.408186912536621,1.3859913349151611,1.392238974571228,1.4031407833099365,1.4136748313903809,1.4070028066635132,1.3820956945419312,1.3840715885162354,1.4201542139053345,1.450278878211975,1.4427965879440308,1.3675775527954102,1.2983314990997314,1.212371587753296,1.1205075979232788,1.0455621480941772,1.007785439491272,1.0385371446609497,1.1211419105529785,1.168008804321289,1.1547694206237793,1.1840381622314453,1.247698187828064
PM2.5,1.465699553489685,1.458369493484497,1.4615552425384521,1.4588967561721802,1.4183138608932495,1.3757373094558716,1.3633942604064941,1.3970959186553955,1.4921529293060303,1.604921579360962,1.6974925994873047,1.702544093132019,1.7846256494522095,1.8714357614517212,1.9094825983047485,1.9507850408554077,1.9660849571228027,1.9728195667266846,1.9155465364456177,1.8203296661376953,1.7792656421661377,1.7233543395996094,1.6825973987579346,1.6643139123916626,1.6566686630249023,1.722392201423645,1.758681058883667,1.8085397481918335,1.8287477493286133,1.7909988164901733,1.7747443914413452,1.7389543056488037,1.725531816482544,1.750961422920227,1.7126617431640625,1.640875220298767,1.5715457201004028,1.498266577720642,1.467644453048706,1.4610801935195923,1.4092652797698975,1.4027605056762695,1.453583836555481,1.5203913450241089,1.55179762840271,1.6357945203781128,1.6228727102279663,1.5971585512161255,1.594468355178833,1.6169618368148804,1.6736088991165161,1.7382885217666626,1.7517006397247314,1.8200931549072266,1.8404945135116577,1.7894213199615479,1.7615525722503662,1.7566535472869873,1.7508649826049805,1.7137844562530518,1.627380132675171,1.5974847078323364,1.5762428045272827,1.5374135971069336,1.490564227104187,1.4891045093536377,1.4656333923339844,1.4722400903701782,1.4837682247161865,1.4949076175689697,1.4878522157669067,1.461513876914978,1.4636033773422241,1.5017592906951904,1.5336151123046875,1.525702953338623,1.4461616277694702,1.372936487197876,1.2820371389389038,1.1848944425582886,1.1056424379348755,1.06569504737854,1.098213791847229,1.1855652332305908,1.2351250648498535,1.2211250066757202,1.2520756721496582,1.3193936347961426
PM4.0,1.4657212495803833,1.4583812952041626,1.4615607261657715,1.4588994979858398,1.4183138608932495,1.3757373094558716,1.3633942604064941,1.3970959186553955,1.4921529293060303,1.604921579360962,1.6974925994873047,1.702544093132019,1.7846256494522095,1.8714357614517212,1.9094825983047485,1.9507850408554077,1.9660849571228027,1.9728195667266846,1.9155465364456177,1.8203296661376953,1.7792656421661377,1.7233543395996094,1.6825973987579346,1.6643139123916626,1.6566686630249023,1.722392201423645,1.758681058883667,1.8085397481918335,1.8287477493286133,1.7909988164901733,1.7747443914413452,1.7389543056488037,1.725531816482544,1.750961422920227,1.7126617431640625,1.640875220298767,1.5715457201004028,1.498266577720642,1.467644453048706,1.4610801935195923,1.4092652797698975,1.4027605056762695,1.453583836555481,1.5203913450241089,1.55179762840271,1.6357945203781128,1.6228727102279663,1.5971585512161255,1.594468355178833,1.6169618368148804,1.6736088991165161,1.7382885217666626,1.7517006397247314,1.8200931549072266,1.8404945135116577,1.7894213199615479,1.7615525722503662,1.7566535472869873,1.7508649826049805,1.7137844562530518,1.627380132675171,1.5974847078323364,1.5762428045272827,1.5374135971069336,1.490564227104187,1.4891045093536377,1.4656333923339844,1.4722400903701782,1.4837682247161865,1.4949076175689697,1.4878522157669067,1.461513876914978,1.4636033773422241,1.5017592906951904,1.5336151123046875,1.525702953338623,1.4461616277694702,1.372936487197876,1.2820371389389038,1.1848944425582886,1.1056424379348755,1.06569504737854,1.098213791847229,1.1855652332305908,1.2351250648498535,1.2211250066757202,1.2520756721496582,1.3193936347961426
PM10.0,1.465728521347046,1.4583848714828491,1.4615625143051147,1.458901286125183,1.4183156490325928,1.3757389783859253,1.3633959293365479,1.3970975875854492,1.492154836654663,1.6049236059188843,1.697494626045227,1.702546238899231,1.7846277952194214,1.8714380264282227,1.9094849824905396,1.9507874250411987,1.9660873413085938,1.9728220701217651,1.9155489206314087,1.8203318119049072,1.7792679071426392,1.7233564853668213,1.6825995445251465,1.664315938949585,1.6566708087921143,1.722394347190857,1.758683204650879,1.8085418939590454,1.8287500143051147,1.7910010814666748,1.7747466564178467,1.7389564514160156,1.7255338430404663,1.750963568687439,1.7126638889312744,1.6408772468566895,1.5715476274490356,1.498268485069275,1.4676462411880493,1.4610819816589355,1.4092669486999512,1.4027621746063232,1.4535856246948242,1.5203932523727417,1.5517995357513428,1.6357965469360352,1.6228747367858887,1.5971605777740479,1.5944703817367554,1.6169638633728027,1.673611044883728,1.7382906675338745,1.7517027854919434,1.820095419883728,1.8404967784881592,1.7894234657287598,1.7615548372268677,1.7566558122634888,1.7508671283721924,1.7137866020202637,1.6273821592330933,1.5974867343902588,1.576244831085205,1.5374155044555664,1.4905660152435303,1.489106297492981,1.4656351804733276,1.472241997718811,1.4837701320648193,1.4949095249176025,1.4878541231155396,1.4615156650543213,1.4636051654815674,1.5017611980438232,1.5336170196533203,1.5257047414779663,1.4461634159088135,1.3729381561279297,1.282038688659668,1.1848959922790527,1.1056437492370605,1.065696358680725,1.098215103149414,1.1855666637420654,1.2351266145706177,1.2211265563964844,1.2520772218704224,1.3193953037261963
PMSize,0.5228946208953857,0.5207630395889282,0.5195404291152954,0.5211665630340576,0.522433876991272,0.5242878198623657,0.5239708423614502,0.5252474546432495,0.5246851444244385,0.5245538949966431,0.5232537984848022,0.525576114654541,0.5260195732116699,0.5231485366821289,0.5246977806091309,0.5238876342773438,0.5224276781082153,0.5223740339279175,0.521397590637207,0.5213407278060913,0.5249238014221191,0.5227246284484863,0.5253150463104248,0.5254822969436646,0.5232881307601929,0.5216478109359741,0.5167549848556519,0.5137344598770142,0.5136450529098511,0.5145562887191772,0.5152772665023804,0.5142576694488525,0.5117297172546387,0.5118184089660645,0.5124726295471191,0.5116943120956421,0.5131736993789673,0.5123296976089478,0.5130062103271484,0.512242317199707,0.5102441310882568,0.509932279586792,0.5067429542541504,0.5060492753982544,0.5058109760284424,0.5050226449966431,0.505900502204895,0.5042259693145752,0.5034399032592773,0.5090371370315552,0.5124197006225586,0.5155347585678101,0.5147404670715332,0.5190422534942627,0.5191220045089722,0.5213390588760376,0.5213701725006104,0.5192748308181763,0.5203295946121216,0.5177172422409058,0.5177215337753296,0.5166670083999634,0.517687201499939,0.5191597938537598,0.5187599658966064,0.5185030698776245,0.5177133083343506,0.5200152397155762,0.5148458480834961,0.5143226385116577,0.5136208534240723,0.5159555673599243,0.5180535316467285,0.5189598798751831,0.5172594785690308,0.5151388645172119,0.5134289264678955,0.5152263641357422,0.5148330926895142,0.5135831832885742,0.5149708986282349,0.5155524015426636,0.5164251327514648,0.5171852111816406,0.5157772302627563,0.518446683883667,0.5146749019622803,0.5174992084503174
title,2021-11-15-14:16:20.35
