Timestamp,12:47:22.34,12:47:28.35,12:47:31.37,12:47:34.29,12:47:37.30,12:47:40.25,12:47:44.23,12:47:46.36,12:47:49.28
CO2,854.39,834.26,941.59,1055.0,1271.3,2237.9,2253.9,2159.8,2010.5
T,23.248260498046875,23.40314483642578,23.347068786621094,23.36042022705078,23.63011932373047,23.571372985839844,23.50194549560547,23.37377166748047,23.37377166748047
RH,70.76416015625,72.2137451171875,72.02301025390625,71.43707275390625,73.08349609375,77.23846435546875,75.29296875,72.11456298828125,71.19903564453125
TVOC,74,89,95,244,371,334,277,241,199
PM1.0,2.502446413040161,2.4276371002197266,2.368974208831787,2.35819149017334,2.40378999710083,2.490173816680908,2.497189521789551,2.488553524017334,2.4626376628875732
PM2.5,2.6462411880493164,2.5671329498291016,2.5050995349884033,2.493697166442871,2.5419156551361084,2.633263349533081,2.6406822204589844,2.631549835205078,2.604144811630249
PM4.0,2.6462395191192627,2.567131519317627,2.5050978660583496,2.4936954975128174,2.5419139862060547,2.6332616806030273,2.6406805515289307,2.6315484046936035,2.6041431427001953
PM10.0,2.646242618560791,2.5671346187591553,2.505100965499878,2.4936985969543457,2.541917324066162,2.6332650184631348,2.640683889389038,2.631551504135132,2.6041464805603027
PMSize,0.44605159759521484,0.44316399097442627,0.4461594820022583,0.44722986221313477,0.44473540782928467,0.4431643486022949,0.44042980670928955,0.4433251619338989,0.4445120096206665
title,2021-11-16-12:47:22.34
start,2021-11-16T12:47:52.296Z
