Timestamp,14:30:47.35,14:30:53.39,14:30:56.31,14:30:59.32,14:31:02.25,14:31:05.36,14:31:08.31,14:31:11.34,14:31:14.33,14:31:17.32,14:31:20.37,14:31:23.29,14:31:26.31,14:31:29.26,14:31:32.37,14:31:35.36,14:31:38.30,14:31:41.30,14:31:44.31,14:31:47.32,14:31:50.36,14:31:53.29,14:31:56.30,14:31:59.31,14:32:02.32,14:32:05.36,14:32:08.29,14:32:11.30,14:32:14.31,14:32:17.32,14:32:20.32,14:32:23.37,14:32:26.38,14:32:29.31,14:32:32.32,14:32:35.36,14:32:38.29,14:32:41.30,14:32:44.31,14:32:47.32,14:32:50.36,14:32:53.38,14:32:56.29,14:32:59.31,14:33:02.31,14:33:05.35,14:33:08.37,14:33:11.29,14:33:14.31,14:33:17.32,14:33:20.36,14:33:23.29,14:33:26.30,14:33:29.32,14:33:32.32,14:33:35.36,14:33:38.30,14:33:41.31,14:33:44.32,14:33:47.36,14:33:50.29,14:33:53.30,14:33:56.31,14:33:59.36,14:34:02.29,14:34:05.30,14:34:08.31,14:34:11.31,14:34:14.36,14:34:17.29,14:34:20.31,14:34:23.32,14:34:26.36,14:34:29.29,14:34:32.30,14:34:35.31,14:34:38.32,14:34:41.37,14:34:44.30,14:34:47.31,14:34:50.33,14:34:53.36,14:34:56.29,14:34:59.30,14:35:02.32
CO2,1228.7,1222.8,1216.2,1209.9,1198.8,1192.8,1188.2,1186.5,1182.3,1174.5,1167.8,1143.9,1125.7,1133.0,1162.0,1267.0,1296.7,1308.7,1309.9,1298.9,1264.8,1242.3,1189.2,1129.0,1088.9,1026.3,1013.5,1006.6,1003.9,986.52,980.41,981.76,974.20,969.20,963.80,958.74,956.98,954.51,956.61,954.59,954.99,956.52,958.32,958.76,957.33,955.25,953.67,952.93,954.75,959.77,963.44,966.85,968.14,970.50,969.23,967.83,967.68,967.88,968.71,970.32,975.51,976.35,981.15,981.31,974.99,973.56,973.30,972.64,968.81,968.36,968.77,967.17,967.64,968.32,977.73,985.27,1001.5,1024.0,1025.7,1025.7,1025.7,1014.1,1009.0,994.90,986.94
T,26.855880737304688,26.826507568359375,26.826507568359375,26.826507568359375,26.813156127929688,26.839859008789062,26.855880737304688,26.839859008789062,26.813156127929688,26.770431518554688,26.783782958984375,26.7998046875,26.839859008789062,26.839859008789062,26.898605346679688,26.855880737304688,26.898605346679688,26.911956787109375,26.869232177734375,26.869232177734375,26.826507568359375,26.813156127929688,26.7998046875,26.770431518554688,26.770431518554688,26.72502899169922,26.72502899169922,26.698326110839844,26.698326110839844,26.66895294189453,26.698326110839844,26.68230438232422,26.698326110839844,26.68230438232422,26.698326110839844,26.71167755126953,26.71167755126953,26.71167755126953,26.71167755126953,26.72502899169922,26.698326110839844,26.71167755126953,26.698326110839844,26.66895294189453,26.68230438232422,26.68230438232422,26.66895294189453,26.72502899169922,26.72502899169922,26.71167755126953,26.72502899169922,26.71167755126953,26.72502899169922,26.72502899169922,26.738380432128906,26.783782958984375,26.783782958984375,26.7998046875,26.7998046875,26.757080078125,26.72502899169922,26.68230438232422,26.68230438232422,26.655601501464844,26.68230438232422,26.655601501464844,26.63957977294922,26.66895294189453,26.63957977294922,26.63957977294922,26.63957977294922,26.62622833251953,26.62622833251953,26.63957977294922,26.66895294189453,26.68230438232422,26.68230438232422,26.66895294189453,26.655601501464844,26.66895294189453,26.66895294189453,26.655601501464844,26.63957977294922,26.655601501464844,26.62622833251953
RH,61.846923828125,61.73248291015625,61.7218017578125,61.68670654296875,61.79656982421875,61.8011474609375,61.8927001953125,61.84539794921875,61.6180419921875,61.57684326171875,61.5570068359375,61.627197265625,61.90185546875,62.1673583984375,62.24517822265625,62.115478515625,62.35504150390625,62.56866455078125,62.28485107421875,62.07427978515625,61.7645263671875,61.75079345703125,61.5936279296875,61.57684326171875,61.57684326171875,61.602783203125,61.7034912109375,61.7218017578125,61.7095947265625,61.6943359375,61.7095947265625,61.71722412109375,61.7645263671875,61.69586181640625,61.663818359375,61.590576171875,61.5570068359375,61.5447998046875,61.590576171875,61.6455078125,61.65313720703125,61.62261962890625,61.59820556640625,61.60430908203125,61.627197265625,61.65008544921875,61.6943359375,61.8133544921875,62.060546875,61.95526123046875,61.8011474609375,61.78741455078125,61.8011474609375,61.83624267578125,61.81488037109375,61.78131103515625,61.73553466796875,61.5936279296875,61.5936279296875,61.5631103515625,61.5936279296875,61.65008544921875,61.6851806640625,61.700439453125,61.80572509765625,61.8011474609375,61.7767333984375,61.72637939453125,61.69891357421875,61.73248291015625,61.74468994140625,61.785888671875,61.785888671875,61.88812255859375,62.12615966796875,62.11700439453125,61.9964599609375,61.93695068359375,61.87896728515625,61.80419921875,61.78131103515625,61.76910400390625,61.68670654296875,61.6455078125,61.60888671875
TVOC,14,4,0,1,8,11,3,12,6,3,3,263,6508,10512,18927,14632,18525,14386,13879,13026,12557,12749,12795,12326,13364,13087,10797,11158,12465,12726,12103,12319,12987,18680,13879,14401,14056,13010,13541,14271,12818,12403,12165,12611,13318,14355,12811,10797,6485,3126,2199,1643,1220,668,559,467,397,360,348,354,350,326,298,301,283,270,245,233,219,199,182,185,183,176,157,154,140,120,124,114,108,99,83,76,86
PM1.0,1.6075865030288696,1.653977870941162,1.7112261056900024,1.6851398944854736,1.5841425657272339,1.5672428607940674,1.5833481550216675,1.5328686237335205,1.4836276769638062,1.4580092430114746,1.4707412719726562,1.4469133615493774,1.403144359588623,1.3722612857818604,1.362830638885498,1.4238985776901245,1.4390103816986084,1.439670205116272,1.4128086566925049,1.4062193632125854,1.3837944269180298,1.392881989479065,1.4120268821716309,1.418259859085083,1.4123566150665283,1.3591923713684082,1.2717071771621704,1.1865593194961548,1.1929458379745483,1.2318172454833984,1.3745043277740479,1.5628777742385864,1.6255639791488647,1.5987939834594727,1.519372820854187,1.4246892929077148,1.371063232421875,1.3642088174819946,1.2911626100540161,1.2467830181121826,1.1803010702133179,1.1157057285308838,1.0872474908828735,1.1194019317626953,1.1410274505615234,1.1650503873825073,1.2110666036605835,1.2271075248718262,1.2711976766586304,1.3034378290176392,1.3024476766586304,1.3413444757461548,1.4822235107421875,1.5231159925460815,1.492020606994629,1.4855756759643555,1.4431654214859009,1.39622962474823,1.3397202491760254,1.2849671840667725,1.2609727382659912,1.2588149309158325,1.2500746250152588,1.2449712753295898,1.2848402261734009,1.3352434635162354,1.4089915752410889,1.4302016496658325,1.385717749595642,1.317319393157959,1.2699509859085083,1.3108917474746704,1.3328814506530762,1.3315622806549072,1.377305507659912,1.3612174987792969,1.356758713722229,1.3180041313171387,1.323370337486267,1.3415982723236084,1.3738689422607422,1.4002093076705933,1.3825396299362183,1.4097634553909302,1.4113775491714478
PM2.5,1.6999619007110596,1.7498865127563477,1.811479926109314,1.7849607467651367,1.6771100759506226,1.6582820415496826,1.676069974899292,1.623299241065979,1.5717898607254028,1.5453722476959229,1.5595479011535645,1.5347877740859985,1.4887503385543823,1.4554009437561035,1.4460258483886719,1.5113716125488281,1.5279284715652466,1.529076337814331,1.5009894371032715,1.4944839477539062,1.4709911346435547,1.4807701110839844,1.501297116279602,1.5080859661102295,1.501780390739441,1.4452015161514282,1.3521714210510254,1.2615567445755005,1.2659292221069336,1.3049442768096924,1.454825520515442,1.6534631252288818,1.7193869352340698,1.6908726692199707,1.606781005859375,1.5066035985946655,1.449871301651001,1.4426110982894897,1.365360975265503,1.3184281587600708,1.2481244802474976,1.1798166036605835,1.1497230529785156,1.183725118637085,1.20659339427948,1.231996774673462,1.280657172203064,1.2976198196411133,1.3442435264587402,1.3783363103866577,1.3772891759872437,1.4184210300445557,1.5673953294754028,1.6106376647949219,1.5777554512023926,1.5709401369094849,1.5260928869247437,1.4764600992202759,1.4167035818099976,1.3588042259216309,1.3334310054779053,1.3311492204666138,1.3219066858291626,1.3165100812911987,1.3586699962615967,1.4119694232940674,1.4899553060531616,1.512384295463562,1.4653441905975342,1.3930153846740723,1.3429251909255981,1.3862184286117554,1.4094717502593994,1.4080767631530762,1.4564484357833862,1.4394360780715942,1.4347209930419922,1.3937395811080933,1.3994141817092896,1.418689489364624,1.4528144598007202,1.4806684255599976,1.461983323097229,1.4907716512680054,1.492478370666504
PM4.0,1.6999619007110596,1.7505873441696167,1.813037395477295,1.7873804569244385,1.6786785125732422,1.659076452255249,1.6774779558181763,1.6252001523971558,1.5741446018218994,1.5482702255249023,1.5630247592926025,1.538616418838501,1.492779016494751,1.4588702917099,1.4499778747558594,1.5159461498260498,1.5329704284667969,1.534481406211853,1.5066540241241455,1.500522255897522,1.4772064685821533,1.487122654914856,1.5078774690628052,1.5148271322250366,1.5084702968597412,1.451600432395935,1.358151912689209,1.267073154449463,1.269517421722412,1.3068420886993408,1.4559102058410645,1.654093623161316,1.7197211980819702,1.6910423040390015,1.6068626642227173,1.5066417455673218,1.4498891830444336,1.4426190853118896,1.3653651475906372,1.3184289932250977,1.2481253147125244,1.1798166036605835,1.1497230529785156,1.183725118637085,1.20659339427948,1.231996774673462,1.280657172203064,1.2976198196411133,1.3442435264587402,1.3783363103866577,1.3772891759872437,1.4184210300445557,1.5673953294754028,1.6106376647949219,1.5777554512023926,1.5709401369094849,1.5260928869247437,1.4764600992202759,1.4167035818099976,1.3588042259216309,1.3334310054779053,1.3311492204666138,1.3219066858291626,1.3165100812911987,1.3586699962615967,1.4119694232940674,1.4899553060531616,1.512384295463562,1.4653441905975342,1.3930153846740723,1.3429251909255981,1.3862184286117554,1.4094717502593994,1.4080767631530762,1.4564484357833862,1.4394360780715942,1.4347209930419922,1.3937395811080933,1.3994141817092896,1.418689489364624,1.4528144598007202,1.4806684255599976,1.461983323097229,1.4907716512680054,1.492478370666504
PM10.0,1.6999640464782715,1.750730276107788,1.8133511543273926,1.7878659963607788,1.678995966911316,1.6592365503311157,1.6777620315551758,1.6255816221237183,1.5746185779571533,1.548852562904358,1.5637218952178955,1.5393836498260498,1.4935872554779053,1.4595656394958496,1.4507701396942139,1.516863226890564,1.533980131149292,1.5355650186538696,1.5077877044677734,1.501731514930725,1.4784507751464844,1.4883952140808105,1.5091952085494995,1.5161765813827515,1.509810447692871,1.4528831243515015,1.3593486547470093,1.2681773900985718,1.2702358961105347,1.3072227239608765,1.4561280012130737,1.654220461845398,1.7197915315628052,1.6910778284072876,1.60688054561615,1.5066511631011963,1.4498964548110962,1.4426244497299194,1.3653684854507446,1.3184306621551514,1.248126745223999,1.179818034172058,1.1497244834899902,1.1837266683578491,1.2065949440002441,1.231998324394226,1.2806587219238281,1.297621488571167,1.344245195388794,1.3783379793167114,1.377290964126587,1.418422818183899,1.5673972368240356,1.6106395721435547,1.5777573585510254,1.5709420442581177,1.5260947942733765,1.4764618873596191,1.4167052507400513,1.3588058948516846,1.333432674407959,1.3311508893966675,1.3219083547592163,1.316511631011963,1.3586716651916504,1.4119712114334106,1.4899570941925049,1.5123860836029053,1.4653459787368774,1.3930171728134155,1.3429267406463623,1.386220097541809,1.4094735383987427,1.4080785512924194,1.456450343132019,1.4394378662109375,1.4347227811813354,1.393741250038147,1.3994158506393433,1.4186911582946777,1.452816367149353,1.4806702136993408,1.4619852304458618,1.4907734394073486,1.4924802780151367
PMSize,0.5263675451278687,0.5322791337966919,0.5307931900024414,0.5297529697418213,0.5293213129043579,0.5292943716049194,0.5315101146697998,0.5334188938140869,0.5306810140609741,0.5348793268203735,0.5333764553070068,0.5320116281509399,0.5304906368255615,0.5337828397750854,0.5319702625274658,0.5314763784408569,0.5307126045227051,0.5316991806030273,0.532042384147644,0.5314755439758301,0.5311038494110107,0.532381534576416,0.5338391065597534,0.5330493450164795,0.5324625968933105,0.5315754413604736,0.5297577381134033,0.5310046672821045,0.5302110910415649,0.5265094041824341,0.5244474411010742,0.5233026742935181,0.523184061050415,0.5250140428543091,0.5253491401672363,0.5240702629089355,0.525668740272522,0.5248653888702393,0.5248653888702393,0.5213768482208252,0.5218313932418823,0.5227227210998535,0.521774172782898,0.519706130027771,0.5189038515090942,0.5186123847961426,0.5196291208267212,0.5187937021255493,0.5210961103439331,0.5219346284866333,0.5229247808456421,0.5199017524719238,0.5168668031692505,0.5142436027526855,0.5126042366027832,0.5105283260345459,0.5132970809936523,0.5112019777297974,0.5121504068374634,0.5122553110122681,0.5119600296020508,0.5110771656036377,0.5102598667144775,0.5112192630767822,0.5135928392410278,0.5149631500244141,0.5147266387939453,0.5139302015304565,0.5144709348678589,0.5145261287689209,0.5150851011276245,0.5146174430847168,0.5129648447036743,0.5139889717102051,0.5113593339920044,0.5108903646469116,0.5115045309066772,0.5129222869873047,0.5131902694702148,0.5140219926834106,0.5126223564147949,0.5109869241714478,0.5093827247619629,0.5092151165008545,0.5088968276977539
title,2021-11-15-14:30:47.35
