Timestamp,11:52:19.35,11:52:25.39,11:52:28.30,11:52:31.31,11:52:34.29,11:52:37.28,11:52:40.30,11:52:43.31,11:52:46.31,11:52:49.35,11:52:52.28,11:52:55.30,11:52:58.31,11:53:01.25,11:53:04.35,11:53:07.29,11:53:10.30,11:53:13.30,11:53:16.25,11:53:19.26,11:53:22.25,11:53:25.29,11:53:28.25,11:53:31.31,11:53:34.31,11:53:37.36,11:53:40.29,11:53:43.30,11:53:46.31,11:53:49.36,11:53:52.37,11:53:55.30,11:53:58.31,11:54:01.26,11:54:04.36
CO2,1588.9,1593.9,1593.3,1585.9,1579.9,1579.5,1577.2,1579.8,1578.8,1577.6,1578.1,1577.6,1575.5,1581.7,1584.7,1586.2,1584.2,1582.8,1586.6,1587.5,1584.2,1583.0,1580.5,1580.0,1577.7,1581.9,1585.3,1585.6,1586.7,1586.4,1583.5,1582.9,1591.7,1602.4,1642.2
T,28.815902709960938,28.799880981445312,28.842605590820312,28.858627319335938,28.871978759765625,28.914703369140625,28.928054809570312,28.94140625,28.94140625,28.957427978515625,28.94140625,28.984130859375,28.984130859375,28.957427978515625,28.957427978515625,28.957427978515625,28.984130859375,28.997482299804688,29.013504028320312,29.02685546875,29.069580078125,29.082931518554688,29.139007568359375,29.155029296875,29.227127075195312,29.168380737304688,29.168380737304688,29.1123046875,29.1123046875,29.056228637695312,29.069580078125,29.069580078125,29.056228637695312,29.040206909179688,29.056228637695312
RH,65.252685546875,65.14739990234375,65.1458740234375,65.1275634765625,65.0604248046875,65.0360107421875,64.93682861328125,64.849853515625,64.88189697265625,64.84375,64.77203369140625,64.813232421875,64.84832763671875,64.91851806640625,64.93072509765625,65.15655517578125,65.10467529296875,67.14630126953125,67.40875244140625,66.88232421875,65.92864990234375,66.71600341796875,68.11676025390625,68.64776611328125,67.9534912109375,68.08929443359375,67.449951171875,66.1712646484375,65.64483642578125,65.0054931640625,64.8956298828125,64.87579345703125,65.39764404296875,65.95611572265625,65.27557373046875
TVOC,0,0,2,5,10,19,21,21,30,31,33,38,36,47,59,54,60,69,70,82,92,112,100,103,101,106,108,106,96,89,85,102,114,104,108
PM1.0,1.277762770652771,1.3243495225906372,1.3827697038650513,1.3912959098815918,1.3879443407058716,1.4974684715270996,1.6171776056289673,1.7099822759628296,1.710227370262146,1.6754815578460693,1.69162917137146,1.6710968017578125,1.5832313299179077,1.572534203529358,1.520955204963684,1.5143476724624634,1.5846327543258667,1.6021887063980103,1.587090015411377,1.567429780960083,1.602400541305542,1.635162353515625,1.7149014472961426,1.7865289449691772,1.9012871980667114,1.9778215885162354,1.9515025615692139,1.9465020895004272,1.8890297412872314,1.7986735105514526,1.6686395406723022,1.5733190774917603,1.5312153100967407,1.5028871297836304,1.508656620979309
PM2.5,1.3981947898864746,1.4496660232543945,1.514107346534729,1.5238265991210938,1.5203722715377808,1.6404311656951904,1.7714672088623047,1.8727068901062012,1.8727152347564697,1.8344557285308838,1.8522621393203735,1.8298181295394897,1.7336562871932983,1.72226881980896,1.6657463312149048,1.658194661140442,1.73499596118927,1.7540839910507202,1.7374080419540405,1.7156645059585571,1.753456950187683,1.788758635520935,1.8750673532485962,1.9520668983459473,2.0762712955474854,2.1586005687713623,2.1283254623413086,2.121685743331909,2.0582292079925537,1.9591273069381714,1.8168001174926758,1.7125989198684692,1.6665785312652588,1.6355983018875122,1.6419177055358887
PM4.0,1.436240315437317,1.4894973039627075,1.5560956001281738,1.5663825273513794,1.5630011558532715,1.686492919921875,1.8211294412612915,1.924878478050232,1.9246858358383179,1.8851988315582275,1.90359628200531,1.8805595636367798,1.7817686796188354,1.7703202962875366,1.712197184562683,1.704188346862793,1.7829937934875488,1.802505373954773,1.785254716873169,1.7627406120300293,1.8011903762817383,1.837023377418518,1.9249414205551147,2.002957582473755,2.1294682025909424,2.2129297256469727,2.180675745010376,2.1729423999786377,2.107313871383667,2.005335807800293,1.859108805656433,1.7521523237228394,1.7049201726913452,1.6731114387512207,1.6796092987060547
PM10.0,1.4438512325286865,1.4974664449691772,1.564495325088501,1.5748971700668335,1.571529507637024,1.6957077980041504,1.8310641050338745,1.9353169202804565,1.9350835084915161,1.8953481912612915,1.9138654470443726,1.8907105922698975,1.7913942337036133,1.7799339294433594,1.721489429473877,1.7133891582489014,1.7925970554351807,1.8121922016143799,1.794825553894043,1.7721582651138306,1.8107391595840454,1.846678376197815,1.9349180459976196,2.0131375789642334,2.1401119232177734,2.223799228668213,2.1911497116088867,2.183197498321533,2.117133378982544,2.014580726623535,1.8675724267959595,1.760067105293274,1.712591290473938,1.6806153059005737,1.687147855758667
PMSize,0.5635027885437012,0.5677460432052612,0.5690099000930786,0.5688384771347046,0.5686783790588379,0.568305253982544,0.5627244710922241,0.5621474981307983,0.5611593723297119,0.5617320537567139,0.5606018304824829,0.5596040487289429,0.5586260557174683,0.5619927644729614,0.5627721548080444,0.5618321895599365,0.5636506080627441,0.5636042356491089,0.5636624097824097,0.5638130903244019,0.5609123706817627,0.5604491233825684,0.5575473308563232,0.5551244020462036,0.5553489923477173,0.5571749210357666,0.5551930665969849,0.5575388669967651,0.5570077896118164,0.5594769716262817,0.5594625473022461,0.5616191625595093,0.5631303787231445,0.5636285543441772,0.5652755498886108
title,2021-11-10-11:52:19.35
start,2021-11-10T11:54:07.291Z
