Timestamp,13:29:01.33,13:29:07.33,13:29:10.36,13:29:13.28,13:29:16.30,13:29:19.31,13:29:22.35,13:29:25.28,13:29:28.30,13:29:31.31,13:29:34.35,13:29:37.36,13:29:40.29,13:29:43.31,13:29:46.31,13:29:49.35,13:29:52.29,13:29:55.30,13:29:58.31,13:30:01.35,13:30:04.28,13:30:07.30,13:30:10.31,13:30:13.35,13:30:16.28,13:30:19.30,13:30:22.31,13:30:25.35,13:30:28.36,13:30:31.29
CO2,818.66,845.33,861.49,1362.0,2033.0,2553.7,2661.9,2718.6,2897.9,2873.5,2888.9,2913.5,2755.7,2500.2,2057.8,1523.9,1465.2,1236.3,1033.2,924.88,941.88,927.04,920.33,928.25,920.41,924.77,917.02,914.78,905.39,887.98
T,26.484703063964844,26.514076232910156,26.484703063964844,26.49805450439453,26.62622833251953,26.72502899169922,26.72502899169922,26.738380432128906,26.757080078125,26.757080078125,26.826507568359375,26.757080078125,26.770431518554688,26.71167755126953,26.62622833251953,26.59685516357422,26.556800842285156,26.49805450439453,26.45800018310547,26.49805450439453,26.49805450439453,26.471351623535156,26.49805450439453,26.471351623535156,26.441978454589844,26.45800018310547,26.441978454589844,26.441978454589844,26.45800018310547,26.428627014160156
RH,65.15655517578125,66.58477783203125,66.644287109375,65.40374755859375,69.244384765625,71.57440185546875,71.820068359375,71.331787109375,69.482421875,69.3450927734375,69.647216796875,69.9310302734375,68.83697509765625,68.32275390625,66.78466796875,65.41290283203125,64.47296142578125,63.37432861328125,63.1317138671875,63.01727294921875,63.53912353515625,63.34686279296875,64.0167236328125,63.677978515625,63.72833251953125,63.897705078125,63.4521484375,63.22784423828125,63.25225830078125,63.63677978515625
TVOC,31,47,58,69,92,119,139,137,124,134,141,141,136,122,112,83,74,68,47,52,53,66,52,62,58,54,60,64,55,54
PM1.0,1.6904412508010864,1.617655634880066,1.6249845027923584,1.5786991119384766,1.5534543991088867,1.4892686605453491,1.4421862363815308,1.375463604927063,1.2841335535049438,1.2745333909988403,1.3050459623336792,1.3319753408432007,1.3414764404296875,1.3890999555587769,1.438267707824707,1.4278109073638916,1.3843663930892944,1.3561553955078125,1.393869161605835,1.3922502994537354,1.3347893953323364,1.3601387739181519,1.373373031616211,1.377098560333252,1.3734010457992554,1.3791626691818237,1.4634292125701904,1.5367618799209595,1.5864206552505493,1.5472713708877563
PM2.5,1.7875767946243286,1.7106088399887085,1.7183587551116943,1.6702417135238647,1.6442034244537354,1.577364206314087,1.528517246246338,1.4577116966247559,1.3607736825942993,1.3492193222045898,1.3807957172393799,1.4089093208312988,1.4187642335891724,1.4690290689468384,1.5209702253341675,1.509883999824524,1.4639288187026978,1.4340893030166626,1.473966360092163,1.4722537994384766,1.4121415615081787,1.4386358261108398,1.4524651765823364,1.4563195705413818,1.4523646831512451,1.4584345817565918,1.5475329160690308,1.6250739097595215,1.6775827407836914,1.6361819505691528
PM4.0,1.7875757217407227,1.7106077671051025,1.7183576822280884,1.6709096431732178,1.6454057693481445,1.5794023275375366,1.5313167572021484,1.4603097438812256,1.3630797863006592,1.350391149520874,1.3814092874526978,1.4092295169830322,1.4189285039901733,1.4691154956817627,1.5210154056549072,1.5099064111709595,1.4639406204223633,1.4340946674346924,1.4739691019058228,1.4722537994384766,1.412670373916626,1.4389102458953857,1.4526063203811646,1.4563908576965332,1.4524016380310059,1.4584527015686035,1.5475424528121948,1.6250768899917603,1.6775838136672974,1.6361829042434692
PM10.0,1.7875778675079346,1.710609793663025,1.7183598279953003,1.6710461378097534,1.6456478834152222,1.5798118114471436,1.5318776369094849,1.4608319997787476,1.3635438680648804,1.350628137588501,1.3815340995788574,1.4092957973480225,1.4189636707305908,1.4691354036331177,1.5210267305374146,1.5099139213562012,1.4639441967010498,1.4340964555740356,1.473970890045166,1.4722555875778198,1.4127769470214844,1.4389690160751343,1.452636957168579,1.456407070159912,1.4524105787277222,1.4584580659866333,1.5475462675094604,1.625080943107605,1.6775858402252197,1.6361849308013916
PMSize,0.5250577926635742,0.5255844593048096,0.5291630029678345,0.5305718183517456,0.5311293601989746,0.5297905206680298,0.530624270439148,0.5297523736953735,0.5291495323181152,0.5265549421310425,0.5257624387741089,0.5252741575241089,0.5204489231109619,0.5226460695266724,0.5209928750991821,0.5223793983459473,0.5243175029754639,0.5253486633300781,0.5283669233322144,0.5284140110015869,0.5298815965652466,0.5285909175872803,0.5281456708908081,0.5254595279693604,0.5251308679580688,0.5266281366348267,0.5245027542114258,0.5267513990402222,0.5266393423080444,0.528059720993042
title,2021-11-15-13:29:01.33
start,2021-11-15T13:30:34.310Z
