Timestamp,14:24:46.35,14:24:52.32,14:24:55.32,14:24:58.36,14:25:01.29,14:25:04.31,14:25:07.31,14:25:10.35,14:25:13.36,14:25:16.29,14:25:19.31,14:25:22.32,14:25:25.36,14:25:28.29,14:25:31.30,14:25:34.32,14:25:37.36,14:25:40.29,14:25:43.30,14:25:46.31,14:25:49.32,14:25:52.38,14:25:55.29,14:25:58.31,14:26:01.32,14:26:04.36,14:26:07.29,14:26:10.30,14:26:13.32,14:26:16.35,14:26:19.37,14:26:22.29,14:26:25.31,14:26:28.32,14:26:31.35,14:26:34.29,14:26:37.30,14:26:40.31,14:26:43.36,14:26:46.29,14:26:49.30,14:26:52.31,14:26:55.31,14:26:58.36,14:27:01.36,14:27:04.25,14:27:07.30,14:27:10.30,14:27:13.32,14:27:16.36,14:27:19.29,14:27:22.30,14:27:25.31,14:27:28.32,14:27:31.32,14:27:34.37
CO2,953.42,952.90,952.78,954.08,954.06,954.42,953.22,952.06,951.15,950.37,949.94,949.93,951.11,951.65,951.59,950.82,950.42,949.18,950.40,952.10,952.58,953.04,952.48,952.91,952.75,953.88,955.05,956.02,955.94,955.29,954.25,953.69,952.73,952.82,952.79,953.08,956.90,956.85,959.19,960.66,956.94,960.03,965.74,979.69,974.31,976.03,989.21,992.36,984.74,990.47,985.36,985.00,976.98,974.57,982.26,984.34
T,26.698326110839844,26.68230438232422,26.698326110839844,26.68230438232422,26.66895294189453,26.655601501464844,26.68230438232422,26.66895294189453,26.72502899169922,26.72502899169922,26.738380432128906,26.757080078125,26.738380432128906,26.738380432128906,26.71167755126953,26.757080078125,26.72502899169922,26.72502899169922,26.738380432128906,26.68230438232422,26.68230438232422,26.66895294189453,26.66895294189453,26.63957977294922,26.68230438232422,26.66895294189453,26.655601501464844,26.655601501464844,26.655601501464844,26.63957977294922,26.63957977294922,26.63957977294922,26.655601501464844,26.63957977294922,26.66895294189453,26.655601501464844,26.655601501464844,26.62622833251953,26.612876892089844,26.612876892089844,26.68230438232422,26.68230438232422,26.68230438232422,26.68230438232422,26.68230438232422,26.66895294189453,26.655601501464844,26.62622833251953,26.63957977294922,26.62622833251953,26.698326110839844,26.66895294189453,26.72502899169922,26.757080078125,26.71167755126953,26.738380432128906
RH,61.865234375,61.85150146484375,61.79656982421875,61.7279052734375,61.67144775390625,61.65771484375,61.65008544921875,61.65924072265625,61.79046630859375,61.8011474609375,62.17193603515625,62.20855712890625,62.261962890625,62.17193603515625,62.03460693359375,62.042236328125,62.10174560546875,62.591552734375,62.982177734375,63.6627197265625,63.604736328125,63.60321044921875,63.42620849609375,63.04473876953125,63.16070556640625,62.9486083984375,62.92572021484375,63.03558349609375,62.98980712890625,62.78839111328125,62.799072265625,62.85400390625,62.90283203125,63.45367431640625,63.5040283203125,63.38043212890625,63.40179443359375,63.27362060546875,63.54827880859375,63.7603759765625,63.19580078125,62.8265380859375,62.58392333984375,62.261962890625,62.16278076171875,62.0147705078125,62.1673583984375,62.41912841796875,62.4542236328125,62.41912841796875,62.396240234375,62.31689453125,62.02545166015625,62.0758056640625,62.01171875,62.12615966796875
TVOC,5,1,9,11,15,6,10,26,46,64,82,91,88,88,82,71,59,70,151,251,314,325,328,353,344,342,348,354,370,347,328,400,386,367,359,359,367,369,384,378,346,292,245,193,163,142,125,111,88,90,85,79,84,70,81,71
PM1.0,1.405052661895752,1.3870015144348145,1.346056580543518,1.3382235765457153,1.3073389530181885,1.2506722211837769,1.2797718048095703,1.3316832780838013,1.3561110496520996,1.4082895517349243,1.4337124824523926,1.429738998413086,1.405848503112793,1.3789665699005127,1.4080225229263306,1.3866090774536133,1.342476725578308,1.3789961338043213,1.3980306386947632,1.4881538152694702,1.523249864578247,1.5196294784545898,1.517769455909729,1.4931232929229736,1.5020827054977417,1.4857810735702515,1.480769157409668,1.429688572883606,1.530418872833252,1.6031702756881714,1.6029483079910278,1.6216120719909668,1.6430895328521729,1.6307603120803833,1.639695167541504,1.6825462579727173,1.6886959075927734,1.6174843311309814,1.5588512420654297,1.591315746307373,1.5703096389770508,1.491658329963684,1.4397838115692139,1.3349748849868774,1.3572580814361572,1.402740478515625,1.44183349609375,1.488840937614441,1.514963150024414,1.584669828414917,1.6080728769302368,1.5866690874099731,1.512239694595337,1.5455710887908936,1.5152796506881714,1.445956826210022
PM2.5,1.4857901334762573,1.466701626777649,1.4234038591384888,1.4151208400726318,1.3824615478515625,1.3225386142730713,1.3533103466033936,1.4082047939300537,1.434036135673523,1.489212989807129,1.516096830368042,1.511894941329956,1.4866316318511963,1.458204984664917,1.488930583000183,1.4662866592407227,1.4196183681488037,1.4582362174987793,1.4783645868301392,1.5736664533615112,1.6107791662216187,1.6069507598876953,1.6049838066101074,1.5789214372634888,1.588395595550537,1.5711573362350464,1.5658574104309082,1.5118416547775269,1.6183600425720215,1.6952919960021973,1.6950571537017822,1.7147935628890991,1.7375050783157349,1.724467396736145,1.7339155673980713,1.7792291641235352,1.7857321500778198,1.7104284763336182,1.6484261751174927,1.6827561855316162,1.6605430841445923,1.5773723125457764,1.5225169658660889,1.4116854667663574,1.4352490901947021,1.4833450317382812,1.5246844291687012,1.5743930339813232,1.6020162105560303,1.675728440284729,1.7004762887954712,1.6778424978256226,1.599136233329773,1.6343830823898315,1.6023509502410889,1.5290446281433105
PM4.0,1.4857901334762573,1.466701626777649,1.4234038591384888,1.4151208400726318,1.3824615478515625,1.3225386142730713,1.3533103466033936,1.4082047939300537,1.434036135673523,1.489212989807129,1.516096830368042,1.511894941329956,1.4866316318511963,1.458204984664917,1.488930583000183,1.4662866592407227,1.4196183681488037,1.4582362174987793,1.4783645868301392,1.5736664533615112,1.6107791662216187,1.6069507598876953,1.6049838066101074,1.5789214372634888,1.588395595550537,1.5711573362350464,1.5658574104309082,1.5118416547775269,1.6183600425720215,1.6952919960021973,1.6950571537017822,1.7147935628890991,1.7375050783157349,1.724467396736145,1.7339155673980713,1.7792291641235352,1.7857321500778198,1.7104284763336182,1.6484261751174927,1.6827561855316162,1.6605430841445923,1.5773723125457764,1.5225169658660889,1.4116854667663574,1.4352490901947021,1.4833450317382812,1.5246844291687012,1.5743930339813232,1.6020162105560303,1.675728440284729,1.7004762887954712,1.6778424978256226,1.599136233329773,1.6343830823898315,1.6023509502410889,1.5290446281433105
PM10.0,1.4857919216156006,1.4667035341262817,1.423405647277832,1.415122628211975,1.3824632167816162,1.322540283203125,1.3533120155334473,1.408206582069397,1.4340379238128662,1.4892147779464722,1.5160986185073853,1.5118968486785889,1.486633539199829,1.4582068920135498,1.488932490348816,1.466288447380066,1.419620156288147,1.4582380056381226,1.4783663749694824,1.573668360710144,1.610781192779541,1.6069526672363281,1.6049858331680298,1.5789233446121216,1.5883976221084595,1.5711592435836792,1.565859317779541,1.5118434429168701,1.6183620691299438,1.6952940225601196,1.6950592994689941,1.7147955894470215,1.7375072240829468,1.724469542503357,1.7339177131652832,1.779231309890747,1.7857342958450317,1.71043062210083,1.6484283208847046,1.6827583312988281,1.6605451107025146,1.5773742198944092,1.5225188732147217,1.4116872549057007,1.4352508783340454,1.483346939086914,1.5246862173080444,1.574394941329956,1.6020182371139526,1.6757304668426514,1.7004783153533936,1.6778446435928345,1.5991382598876953,1.634385108947754,1.6023528575897217,1.5290465354919434
PMSize,0.5142881870269775,0.5158547163009644,0.5172274112701416,0.5161150693893433,0.5144262313842773,0.5144542455673218,0.512692928314209,0.5149809122085571,0.5123758316040039,0.5099796056747437,0.511435866355896,0.5146048069000244,0.516108512878418,0.5135786533355713,0.5106556415557861,0.5122052431106567,0.5122153759002686,0.5152758359909058,0.5168704986572266,0.5205730199813843,0.5220489501953125,0.5217188596725464,0.5248644351959229,0.5248901844024658,0.5246614217758179,0.5247155427932739,0.5229841470718384,0.5225555896759033,0.5173095464706421,0.5182124376296997,0.5178958177566528,0.5206981897354126,0.5204170942306519,0.5221283435821533,0.5234589576721191,0.5231881141662598,0.5240057706832886,0.5231201648712158,0.522706151008606,0.5216127634048462,0.5203367471694946,0.5204429626464844,0.5233081579208374,0.524207353591919,0.5237514972686768,0.5251327753067017,0.5203142166137695,0.5207744836807251,0.5177652835845947,0.5207717418670654,0.5209094285964966,0.5223673582077026,0.522435188293457,0.526997447013855,0.5270084142684937,0.5289089679718018
title,2021-11-15-14:24:46.35
