Timestamp,08:33:57.35,08:34:03.40,08:34:06.31,08:34:09.35,08:34:12.28,08:34:15.30,08:34:18.31,08:34:21.31,08:34:24.36,08:34:27.29,08:34:30.30,08:34:33.31,08:34:36.35,08:34:39.28
CO2,1625.0,1637.4,1623.1,1603.3,1562.4,1606.0,1658.9,1707.7,1747.1,1712.0,1710.3,1705.4,1681.5,1681.1
T,25.648887634277344,25.648887634277344,25.648887634277344,25.61951446533203,25.606163024902344,25.648887634277344,25.63286590576172,25.606163024902344,25.606163024902344,25.63286590576172,25.606163024902344,25.606163024902344,25.606163024902344,25.59014129638672
RH,74.46746826171875,75.08087158203125,74.7955322265625,74.407958984375,74.26605224609375,74.5086669921875,74.6734619140625,74.49951171875,74.35150146484375,74.37896728515625,74.46746826171875,74.5086669921875,74.786376953125,74.749755859375
TVOC,0,0,0,0,0,0,0,0,5,0,0,0,0,0
PM1.0,2.6530885696411133,2.652186393737793,2.6893961429595947,2.7106282711029053,2.6922285556793213,2.6340010166168213,2.5876410007476807,2.571194648742676,2.630488395690918,2.7658591270446777,2.806783437728882,2.8081257343292236,2.8144819736480713,2.8067128658294678
PM2.5,3.056709051132202,3.045233726501465,3.0845754146575928,3.114250898361206,3.1002840995788574,3.0174949169158936,2.967440605163574,2.9483487606048584,2.9987101554870605,3.134819746017456,3.1737523078918457,3.1670162677764893,3.1752467155456543,3.185570478439331
PM4.0,3.2599849700927734,3.2399942874908447,3.279330253601074,3.3148515224456787,3.3053300380706787,3.205366611480713,3.1544806957244873,3.134012222290039,3.174387216567993,3.3047986030578613,3.3402159214019775,3.326880931854248,3.3363349437713623,3.361659288406372
PM10.0,3.300642490386963,3.278952121734619,3.3182873725891113,3.3549766540527344,3.3463430404663086,3.2429447174072266,3.191894292831421,3.1711485385894775,3.2095253467559814,3.3387985229492188,3.3735108375549316,3.3588593006134033,3.368556022644043,3.3968825340270996
PMSize,0.6431466937065125,0.6411910057067871,0.6378355622291565,0.6384633183479309,0.6417355537414551,0.6366779208183289,0.6381611227989197,0.6385670900344849,0.6357049942016602,0.6338260173797607,0.6335992813110352,0.6303833723068237,0.6295067071914673,0.6345612406730652
title,2021-11-16-08:33:57.35
start,2021-11-16T08:34:42.302Z
