Timestamp,15:20:17.35,15:20:23.40,15:20:26.30,15:20:29.31,15:20:32.36,15:20:35.29,15:20:38.30,15:20:41.31,15:20:44.35,15:20:47.28,15:20:50.30,15:20:53.31,15:20:56.35
CO2,2172.6,2205.0,2229.8,2272.4,2298.7,2310.3,2326.3,2343.0,2358.7,2360.2,2358.1,2343.3,2337.0
T,25.74768829345703,25.80377197265625,25.830474853515625,25.915924072265625,26.001373291015625,26.014724731445312,26.086822509765625,26.129547119140625,26.18829345703125,26.214996337890625,26.214996337890625,26.257728576660156,26.300453186035156
RH,72.37091064453125,72.22442626953125,71.94366455078125,72.2381591796875,72.57537841796875,72.20611572265625,71.70257568359375,71.551513671875,71.05560302734375,70.721435546875,70.40252685546875,69.89288330078125,69.7296142578125
TVOC,0,0,0,0,0,0,0,0,0,0,0,0,0
PM1.0,3.4145724773406982,3.5521044731140137,3.5809459686279297,3.6007628440856934,3.5389742851257324,3.4732255935668945,3.4700615406036377,3.3661980628967285,3.310783624649048,3.24497652053833,3.175036907196045,3.1302032470703125,3.145247459411621
PM2.5,3.9162609577178955,4.076587677001953,4.093269348144531,4.093612194061279,4.017073154449463,4.004306316375732,4.009153842926025,3.8899614810943604,3.797652244567871,3.7421135902404785,3.6257991790771484,3.5343780517578125,3.5392580032348633
PM4.0,4.163488388061523,4.335873126983643,4.341371059417725,4.325032711029053,4.23942756652832,4.272595405578613,4.2840752601623535,4.1573076248168945,4.037716865539551,3.993547201156616,3.842954397201538,3.7159159183502197,3.711867570877075
PM10.0,4.212941646575928,4.387732028961182,4.390995502471924,4.371321201324463,4.283899307250977,4.326256275177002,4.339066028594971,4.210781574249268,4.0857343673706055,4.043839454650879,3.8863883018493652,3.7522263526916504,3.746393918991089
PMSize,0.5808659791946411,0.5818105936050415,0.5674352645874023,0.5593851804733276,0.5625845193862915,0.5791444778442383,0.5732734203338623,0.5754404067993164,0.56305992603302,0.5657428503036499,0.5524030923843384,0.5423269271850586,0.5389230251312256
title,2021-11-09-15:20:17.35
start,2021-11-09T15:20:59.368Z
