Timestamp,12:51:59.34,12:52:05.33,12:52:08.35
CO2,1940.9,1687.8,1869.7
T,25.66223907470703,26.18829345703125,26.23101806640625
RH,73.8250732421875,78.0975341796875,77.73590087890625
TVOC,48,69,60
PM1.0,1.9164550304412842,1.9145393371582031,2.004960060119629
PM2.5,2.0265777111053467,2.0245518684387207,2.120168447494507
PM4.0,2.026576519012451,2.024550676345825,2.1201670169830322
PM10.0,2.026578903198242,2.024553060531616,2.1201696395874023
PMSize,0.45416581630706787,0.45450496673583984,0.4557836055755615
title,2021-11-11-12:51:59.34
start,2021-11-11T12:52:11.365Z
